Plausibility,sentence_pair,Sentence,lure_or_control_word,Lure_or_Control_SUBTLWF,Lure_or_Control_LgSUBTLWF,lure_or_control,Lure_and_control_attn,baseline_attn,Baseline attn: attn from the attn directing critical word ('watched') to the baseline word 'on',,,
Implausible,47,A field on the coach trained young athletes.,coach,47.63,3.386,lure,0.0599,0.115,,,,
Implausible,48,The city from the photographer attended the wedding.,photographer,9.12,2.668,lure,0.0666,0.3657,,,,
Implausible,49,A clinic at the nurse assisted a patient.,nurse,44.98,3.361,lure,0.3965,0.0441,,,,
Implausible,50,A hospital in the therapist helped a girl.,therapist,9.51,2.687,lure,0.0924,0.1515,,,,
Plausible,1,A dog on the roof watched the birds.,on,"6,955.73",5.55,control,0.0649,,,,,
Plausible,2,The cook in the kitchen made a stew.,in,"9,773.41",5.698,control,0.1476,,,,,
Plausible,3,The artist by the window painted a landscape.,by,"1,340.47",4.835,control,0.1714,,,,,
Plausible,4,The scientist in the lab developed a treatment.,in,"9,773.41",5.698,control,0.2473,,,,,
Plausible,5,A student at the library studied her notes.,at,"3,217.10",5.215,control,0.2193,,,,,
Plausible,6,The boy by the fence watered the flowers.,by,"1,340.47",4.835,control,0.1673,,,,,
Plausible,7,The athlete on the podium won the championship.,on,"6,955.73",5.55,control,0.0657,,,,,
Plausible,8,The detective in the office solved the mystery.,in,"9,773.41",5.698,control,0.1561,,,,,
Plausible,9,A baker in the cafe prepared bread daily.,in,"9,773.41",5.698,control,0.3371,,,,,
Plausible,10,The teacher in the classroom inspired young minds.,in,"9,773.41",5.698,control,0.1901,,,,,
Plausible,11,The officer at the station prepared for emergencies.,at,"3,217.10",5.215,control,0.2409,,,,,
Plausible,12,The author in the study wrote a novel.,in,"9,773.41",5.698,control,0.291,,,,,
Plausible,13,The musician on the stage performed a concert.,on,"6,955.73",5.55,control,0.1694,,,,,
Plausible,14,A doctor in the hospital saved a life.,in,"9,773.41",5.698,control,0.1297,,,,,
Plausible,15,The engineer in the factory designed innovative machinery.,in,"9,773.41",5.698,control,0.4028,,,,,
Plausible,16,A runner at the beach rescued a child.,at,"3,217.10",5.215,control,0.19,,,,,
Plausible,17,The mechanic in the garage repaired a car.,in,"9,773.41",5.698,control,0.2491,,,,,
Plausible,18,A scientist in the desert unearthed ancient artifacts.,in,"9,773.41",5.698,control,0.2792,,,,,
Plausible,19,The chef in the restaurant prepared delicious meals.,in,"9,773.41",5.698,control,0.3795,,,,,
Plausible,20,A man by the hive collected sweet honey.,by,"1,340.47",4.835,control,0.2613,,,,,
Plausible,21,The pilot in the cockpit flew the airplane.,in,"9,773.41",5.698,control,0.1984,,,,,
Plausible,22,A researcher in the greenhouse grew exotic plants.,in,"9,773.41",5.698,control,0.3063,,,,,
Plausible,23,The runner on the track set a record.,on,"6,955.73",5.55,control,0.2289,,,,,
Plausible,24,A researcher in the lab made a discovery.,in,"9,773.41",5.698,control,0.1103,,,,,
Plausible,25,The apprentice by the bench created a masterpiece.,by,"1,340.47",4.835,control,0.2026,,,,,
Plausible,26,An assistant in the classroom instructed her students.,in,"9,773.41",5.698,control,0.2128,,,,,
Plausible,27,The captain at the scene extinguished the fire.,at,"3,217.10",5.215,control,0.2207,,,,,
Plausible,28,A poet in the library wrote a manuscript.,in,"9,773.41",5.698,control,0.2808,,,,,
Plausible,29,The singer in the restaurant sung many tunes.,in,"9,773.41",5.698,control,0.288,,,,,
Plausible,30,The cat in the garden chased a butterfly.,in,"9,773.41",5.698,control,0.1548,,,,,
Plausible,31,A teenager at the library read a textbook.,at,"3,217.10",5.215,control,0.2788,,,,,
Plausible,32,The painter in the studio created a masterpiece.,in,"9,773.41",5.698,control,0.2355,,,,,
Plausible,33,A volunteer in the lab conducted an experiment.,in,"9,773.41",5.698,control,0.376,,,,,
Plausible,34,The specialist at the hospital treated a patient.,at,"3,217.10",5.215,control,0.2611,,,,,
Plausible,35,The boy in the park planted colorful flowers.,in,"9,773.41",5.698,control,0.2592,,,,,
Plausible,36,The professor in the classroom explained a concept.,in,"9,773.41",5.698,control,0.1766,,,,,
Plausible,37,An astronaut on the spaceship observed distant galaxies.,on,"6,955.73",5.55,control,0.1597,,,,,
Plausible,38,The worker in the garage fixed an engine.,in,"9,773.41",5.698,control,0.2728,,,,,
Plausible,39,The artist at the exhibit showcased some portraits.,at,"3,217.10",5.215,control,0.3286,,,,,
Plausible,40,An investigator at the scene asked various questions.,at,"3,217.10",5.215,control,0.101,,,,,
Plausible,41,The farmer in the field harvested ripe vegetables.,in,"9,773.41",5.698,control,0.3885,,,,,
Plausible,42,An actor on the stage delivered a speech.,on,"6,955.73",5.55,control,0.1305,,,,,
Plausible,43,A journalist at the conference asked many questions.,at,"3,217.10",5.215,control,0.2545,,,,,
Plausible,44,The woman in the bakery made fresh coffee.,in,"9,773.41",5.698,control,0.1629,,,,,
Plausible,45,The bear in the river caught a trout.,in,"9,773.41",5.698,control,0.2594,,,,,
Plausible,46,The group on the trail discovered a waterfall.,on,"6,955.73",5.55,control,0.2213,,,,,
Plausible,47,A coach on the field trained young athletes.,on,"6,955.73",5.55,control,0.0862,,,,,
Plausible,48,The photographer from the city attended the wedding.,from,"2,039.06",5.017,control,0.3513,,,,,
Plausible,49,A nurse at the clinic assisted a patient.,at,"3,217.10",5.215,control,0.0917,,,,,
Plausible,50,A therapist in the hospital helped a girl.,in,"9,773.41",5.698,control,0.0655,,,,,
Implausible,1,A roof on the dog watched the birds.,on,"6,955.73",5.55,control,0.0688,,,,,
Implausible,2,The kitchen in the cook made a stew.,in,"9,773.41",5.698,control,0.3682,,,,,
Implausible,3,The window by the artist painted a landscape.,by,"1,340.47",4.835,control,0.1125,,,,,
Implausible,4,The lab in the scientist developed a treatment.,in,"9,773.41",5.698,control,0.2201,,,,,
Implausible,5,A library at the student studied her notes.,at,"3,217.10",5.215,control,0.2484,,,,,
Implausible,6,The fence by the boy watered the flowers.,by,"1,340.47",4.835,control,0.0765,,,,,
Implausible,7,The podium on the athlete won the championship.,on,"6,955.73",5.55,control,0.1404,,,,,
Implausible,8,The office in the detective solved the mystery.,in,"9,773.41",5.698,control,0.2355,,,,,
Implausible,9,A cafe in the baker prepared bread daily.,in,"9,773.41",5.698,control,0.1468,,,,,
Implausible,10,The classroom in the teacher inspired young minds.,in,"9,773.41",5.698,control,0.2688,,,,,
Implausible,11,The station at the officer prepared for emergencies.,at,"3,217.10",5.215,control,0.3717,,,,,
Implausible,12,The study in the author wrote a novel.,in,"9,773.41",5.698,control,0.0577,,,,,
Implausible,13,The stage on the musician performed a concert.,on,"6,955.73",5.55,control,0.2026,,,,,
Implausible,14,A hospital in the doctor saved a life.,in,"9,773.41",5.698,control,0.0954,,,,,
Implausible,15,The factory in the engineer designed innovative machinery.,in,"9,773.41",5.698,control,0.3085,,,,,
Implausible,16,A beach at the runner rescued a child.,at,"3,217.10",5.215,control,0.348,,,,,
Implausible,17,The garage in the mechanic repaired a car.,in,"9,773.41",5.698,control,0.1654,,,,,
Implausible,18,A desert in the scientist unearthed ancient artifacts.,in,"9,773.41",5.698,control,0.0922,,,,,
Implausible,19,The restaurant in the chef prepared delicious meals.,in,"9,773.41",5.698,control,0.3203,,,,,
Implausible,20,A hive by the man collected sweet honey.,by,"1,340.47",4.835,control,0.1383,,,,,
Implausible,21,The cockpit in the pilot flew the airplane.,in,"9,773.41",5.698,control,0.2393,,,,,
Implausible,22,A greenhouse in the researcher grew exotic plants.,in,"9,773.41",5.698,control,0.1088,,,,,
Implausible,23,The track on the runner set a record.,on,"6,955.73",5.55,control,0.2531,,,,,
Implausible,24,A lab in the researcher made a discovery.,in,"9,773.41",5.698,control,0.0808,,,,,
Implausible,25,The bench by the apprentice created a masterpiece.,by,"1,340.47",4.835,control,0.2257,,,,,
Implausible,26,A classroom in the assistant instructed her students.,in,"9,773.41",5.698,control,0.2223,,,,,
Implausible,27,The scene at the captain extinguished the fire.,at,"3,217.10",5.215,control,0.1072,,,,,
Implausible,28,A library in the poet wrote a manuscript.,in,"9,773.41",5.698,control,0.3427,,,,,
Implausible,29,The restaurant in the singer sung many tunes.,in,"9,773.41",5.698,control,0.2612,,,,,
Implausible,30,The garden in the cat chased a butterfly.,in,"9,773.41",5.698,control,0.2316,,,,,
Implausible,31,A library at the teenager read a textbook.,at,"3,217.10",5.215,control,0.2022,,,,,
Implausible,32,The studio in the painter created a masterpiece.,in,"9,773.41",5.698,control,0.3676,,,,,
Implausible,33,A lab in the volunteer conducted an experiment.,in,"9,773.41",5.698,control,0.0837,,,,,
Implausible,34,The hospital at the specialist treated a patient.,at,"3,217.10",5.215,control,0.2618,,,,,
Implausible,35,The park in the boy planted colorful flowers.,in,"9,773.41",5.698,control,0.3012,,,,,
Implausible,36,The classroom in the professor explained a concept.,in,"9,773.41",5.698,control,0.1732,,,,,
Implausible,37,A spaceship on the astronaut observed distant galaxies.,on,"6,955.73",5.55,control,0.0749,,,,,
Implausible,38,The garage in the worker fixed an engine.,in,"9,773.41",5.698,control,0.2999,,,,,
Implausible,39,The exhibit at the artist showcased some portraits.,at,"3,217.10",5.215,control,0.1588,,,,,
Implausible,40,A scene at the investigator asked various questions.,at,"3,217.10",5.215,control,0.0726,,,,,
Implausible,41,The field in the farmer harvested ripe vegetables.,in,"9,773.41",5.698,control,0.2689,,,,,
Implausible,42,A stage on the actor delivered a speech.,on,"6,955.73",5.55,control,0.1136,,,,,
Implausible,43,A conference at the journalist asked many questions.,at,"3,217.10",5.215,control,0.2011,,,,,
Implausible,44,The bakery in the woman made fresh coffee.,in,"9,773.41",5.698,control,0.2653,,,,,
Implausible,45,The river in the bear caught a trout.,in,"9,773.41",5.698,control,0.1528,,,,,
Implausible,46,The trail on the group discovered a waterfall.,on,"6,955.73",5.55,control,0.0846,,,,,
Implausible,47,A field on the coach trained young athletes.,on,"6,955.73",5.55,control,0.115,,,,,
Implausible,48,The city from the photographer attended the wedding.,from,"2,039.06",5.017,control,0.3657,,,,,
Implausible,49,A clinic at the nurse assisted a patient.,at,"3,217.10",5.215,control,0.0441,,,,,
Implausible,50,A hospital in the therapist helped a girl.,in,"9,773.41",5.698,control,0.1515,,,,,
