Plausibility,sentence_pair,Sentence,lure_or_control_word,Lure_or_Control_SUBTLWF,Lure_or_Control_LgSUBTLWF,lure_or_control,Lure_and_control_attn,baseline_attn,,,,
Plausible,45,The novel about the mouse was read by the critics.,read,241.22,4.09,lure,0.0036,0.2842,,,,
Plausible,46,The formula on the sheet was used by the engineer.,used,344.14,4.244,lure,0.0212,0.0788,,,,
Plausible,47,The question about the table was answered by the expert.,answered,15.2,2.89,lure,0.0111,0.1604,,,,
Plausible,48,The stores with the games were managed by the owner.,managed,16.59,2.928,lure,0.0641,0.1303,,,,
Plausible,49,The investigation into the statement was conducted by the police.,conducted,3.2,2.215,lure,0.0286,0.2387,,,,
Plausible,50,The date of the concert was considered by the committee.,considered,23.18,3.073,lure,0.0341,0.2226,,,,
Implausible,1,The book about the dog was walked by the audience.,walked,53.67,3.437,lure,0.0913,0.2166,,,,
Implausible,2,The dinner at the opera was heard by the guests.,heard,387.75,4.296,lure,0.0211,0.1776,,,,
Implausible,3,The song about the book was read by the band.,read,241.22,4.09,lure,0.029,0.2379,,,,
Implausible,4,The painting inspired by music was heard by the museum.,heard,387.75,4.296,lure,0.0343,0.2602,,,,
Implausible,5,The report about the art was painted by the committee.,painted,13.92,2.852,lure,0.2337,0.3478,,,,
Implausible,6,The plans for the animals were fed by the students.,fed,15.88,2.909,lure,0.2324,0.3389,,,,
Implausible,7,The conversation about his arm was hurt by the man.,hurt,246.35,4.099,lure,0.4863,0.0812,,,,
Implausible,8,The car in the musical was performed by the owner.,performed,7.31,2.573,lure,0.0907,0.1215,,,,
Implausible,9,The breakfast in the picture was drawn by the chef.,drawn,10.63,2.735,lure,0.0923,0.1597,,,,
Implausible,10,The movie about the tree was grown by the journalist.,grown,25,3.106,lure,0.4608,0.0834,,,,
Implausible,11,The game about the language was spoken by the children.,spoken,19.84,3.006,lure,0.1094,0.052,,,,
Implausible,12,The software for the student was hurt at the university.,hurt,246.35,4.099,lure,0.0612,0.1531,,,,
Implausible,13,The house from the book was read by the agent.,read,241.22,4.09,lure,0.0721,0.1148,,,,
Implausible,14,The clothes for the models were fired by the staff.,fired,61.94,3.5,lure,0.0618,0.2001,,,,
Implausible,15,The photograph of the newspaper was written in the gallery.,written,44.06,3.352,lure,0.2947,0.2077,,,,
Implausible,16,The poster with the demand was cried by the students.,cried,12.98,2.821,lure,0.1566,0.0798,,,,
Implausible,17,The prize from the race was run by the boy.,run,350.55,4.252,lure,0.0815,0.1166,,,,
Implausible,18,The story about the animal was injured by the audience.,injured,10.47,2.728,lure,0.5274,0.1007,,,,
Implausible,19,The advice for the game was played by the friend.,played,56.27,3.458,lure,0.1306,0.139,,,,
Implausible,20,The garden in the book was read by the man.,read,241.22,4.09,lure,0.0875,0.0916,,,,
Implausible,21,The poem for the woman was taught by the professor.,taught,43.84,3.35,lure,0.0161,0.1781,,,,
Implausible,22,The chair for the boy was injured by the parents.,injured,10.47,2.728,lure,0.1373,0.1344,,,,
Implausible,23,The decision about the art was painted by the team.,painted,13.92,2.852,lure,0.1997,0.2222,,,,
Implausible,24,The email about the garden was grown by the manager.,grown,25,3.106,lure,0.1601,0.1306,,,,
Implausible,25,The plan regarding the bear was caught by the officer.,caught,93.94,3.68,lure,0.6406,0.1315,,,,
Implausible,26,The event from the poster was torn by the guests.,torn,10.84,2.744,lure,0.45,0.3316,,,,
Implausible,27,The story about the money was spent by the intern.,spent,70.08,3.553,lure,0.3077,0.0454,,,,
Implausible,28,The mystery surrounding the coat was worn by the author.,worn,10.08,2.712,lure,0.3733,0.0687,,,,
Implausible,29,The contract for the vehicle was driven by the manager.,driven,10.27,2.72,lure,0.0844,0.3404,,,,
Implausible,30,The schedule on the calendar was colored by the employees.,colored,7.39,2.578,lure,0.09,0.0917,,,,
Implausible,31,The training for the course was taught by the participants.,taught,43.84,3.35,lure,0.0687,0.1124,,,,
Implausible,32,The experiments on the animals were fed by the professor.,fed,15.88,2.909,lure,0.1747,0.294,,,,
Implausible,33,The song about the picture was drawn by the artist.,drawn,10.63,2.735,lure,0.0593,0.3365,,,,
Implausible,34,The application for the path was walked by the authorities.,walked,53.67,3.437,lure,0.0408,0.1777,,,,
Implausible,35,The issue with the plant was grown by the management.,grown,25,3.106,lure,0.1383,0.1154,,,,
Implausible,36,The challenge with the image was colored by the team.,colored,7.39,2.578,lure,0.1023,0.0995,,,,
Implausible,37,The meeting on the calendar was drawn by the board.,drawn,10.63,2.735,lure,0.1729,0.1813,,,,
Implausible,38,The film about the flower was grown by the studio.,grown,25,3.106,lure,0.2718,0.1276,,,,
Implausible,39,The campaign about the sign was painted by the lawyer.,painted,13.92,2.852,lure,0.6171,0.1554,,,,
Implausible,40,The studies on the workers were fired by the scholar.,fired,61.94,3.5,lure,0.1384,0.1826,,,,
Implausible,41,The lecture about the church was painted by the artist.,painted,13.92,2.852,lure,0.034,0.47,,,,
Implausible,42,The road in the movie was shot after the president.,shot,227.43,4.064,lure,0.1339,0.1142,,,,
Implausible,43,The agreement about the bridge was measured by the government.,measured,2.82,2.161,lure,0.0479,0.2457,,,,
Implausible,44,The goal for the day was spent by the runner.,spent,70.08,3.553,lure,0.2739,0.1459,,,,
Implausible,45,The novel about the mouse was caught by the critics.,caught,93.94,3.68,lure,0.5127,0.1336,,,,
Implausible,46,The formula on the sheet was torn by the engineer.,torn,10.84,2.744,lure,0.2881,0.1575,,,,
Implausible,47,The question about the table was moved by the expert.,moved,69.33,3.549,lure,0.1456,0.0794,,,,
Implausible,48,The stores with the games were played by the owner.,played,56.27,3.458,lure,0.1546,0.1724,,,,
Implausible,49,The investigation into the statement was spoken by the police.,spoken,19.84,3.006,lure,0.167,0.0379,,,,
Implausible,50,The date of the concert was performed by the committee.,performed,7.31,2.573,lure,0.2084,0.155,,,,
Plausible,1,The book about the dog was read by the audience.,about,"3,631.49",5.268,control,0.5134,,,,,
Plausible,2,The dinner at the opera was enjoyed by the guests.,at,"3,217.10",5.215,control,0.1502,,,,,
Plausible,3,The song about the book was performed by the band.,about,"3,631.49",5.268,control,0.1832,,,,,
Plausible,4,The painting inspired by music was shown by the museum.,by,"1,340.47",4.835,control,0.0937,,,,,
Plausible,5,The report about the art was prepared by the committee.,about,"3,631.49",5.268,control,0.2419,,,,,
Plausible,6,The plans for the animals were studied by the students.,for,"6,895.10",5.546,control,0.4711,,,,,
Plausible,7,The conversation about his arm was understood by the man.,about,"3,631.49",5.268,control,0.2959,,,,,
Plausible,8,The car in the musical was driven by the owner.,in,"9,773.41",5.698,control,0.0371,,,,,
Plausible,9,The breakfast in the picture was created by the chef.,in,"9,773.41",5.698,control,0.1195,,,,,
Plausible,10,The movie about the tree was addressed by the journalist.,about,"3,631.49",5.268,control,0.4847,,,,,
Plausible,11,The game about the language was played by the children.,about,"3,631.49",5.268,control,0.1982,,,,,
Plausible,12,The software for the student was used at the university.,for,"6,895.10",5.546,control,0.1073,,,,,
Plausible,13,The house from the book was sold by the agent.,from,"2,039.06",5.017,control,0.0609,,,,,
Plausible,14,The clothes for the models were designed by the staff.,for,"6,895.10",5.546,control,0.1524,,,,,
Plausible,15,The photograph of the newspaper was viewed in the gallery.,of,"11,577.24",5.771,control,0.3425,,,,,
Plausible,16,The poster with the demand was appreciated by the students.,with,"5,048.33",5.411,control,0.1641,,,,,
Plausible,17,The prize from the race was opened by the boy.,from,"2,039.06",5.017,control,0.1174,,,,,
Plausible,18,The story about the animal was enjoyed by the audience.,about,"3,631.49",5.268,control,0.1915,,,,,
Plausible,19,The advice for the game was followed by the friend.,for,"6,895.10",5.546,control,0.1317,,,,,
Plausible,20,The garden in the book was loved by the man.,in,"9,773.41",5.698,control,0.1427,,,,,
Plausible,21,The poem for the woman was read by the professor.,for,"6,895.10",5.546,control,0.2122,,,,,
Plausible,22,The chair for the boy was purchased by the parents.,for,"6,895.10",5.546,control,0.1574,,,,,
Plausible,23,The decision about the art was supported by the team.,about,"3,631.49",5.268,control,0.1997,,,,,
Plausible,24,The email about the garden was read by the manager.,about,"3,631.49",5.268,control,0.1517,,,,,
Plausible,25,The plan regarding the bear was implemented by the officer.,regarding,8.47,2.636,control,0.2435,,,,,
Plausible,26,The event from the poster was attended by the guests.,from,"2,039.06",5.017,control,0.1137,,,,,
Plausible,27,The story about the money was remembered by the intern.,about,"3,631.49",5.268,control,0.3188,,,,,
Plausible,28,The mystery surrounding the coat was written by the author.,surrounding,3.76,2.286,control,0.1346,,,,,
Plausible,29,The contract for the vehicle was signed by the manager.,for,"6,895.10",5.546,control,0.2841,,,,,
Plausible,30,The schedule on the calendar was followed by the employees.,on,"6,955.73",5.55,control,0.1158,,,,,
Plausible,31,The training for the course was completed by the participants.,for,"6,895.10",5.546,control,0.2672,,,,,
Plausible,32,The experiments on the animals were run by the professor.,on,"6,955.73",5.55,control,0.2226,,,,,
Plausible,33,The song about the picture was recorded by the artist.,about,"3,631.49",5.268,control,0.1905,,,,,
Plausible,34,The application for the path was approved by the authorities.,for,"6,895.10",5.546,control,0.2778,,,,,
Plausible,35,The issue with the plant was addressed by the management.,with,"5,048.33",5.411,control,0.3429,,,,,
Plausible,36,The challenge with the image was overcome by the team.,with,"5,048.33",5.411,control,0.3065,,,,,
Plausible,37,The meeting on the calendar was held by the board.,on,"6,955.73",5.55,control,0.1075,,,,,
Plausible,38,The film about the flower was released by the studio.,about,"3,631.49",5.268,control,0.2899,,,,,
Plausible,39,The campaign about the sign was led by the lawyer.,about,"3,631.49",5.268,control,0.1743,,,,,
Plausible,40,The studies on the workers were published by the scholar.,on,"6,955.73",5.55,control,0.2923,,,,,
Plausible,41,The lecture about the church was attended by the artist.,about,"3,631.49",5.268,control,0.189,,,,,
Plausible,42,The road in the movie was named after the president.,in,"9,773.41",5.698,control,0.0925,,,,,
Plausible,43,The agreement about the bridge was approved by the government.,about,"3,631.49",5.268,control,0.2105,,,,,
Plausible,44,The goal for the day was achieved by the runner.,for,"6,895.10",5.546,control,0.2144,,,,,
Plausible,45,The novel about the mouse was read by the critics.,about,"3,631.49",5.268,control,0.2842,,,,,
Plausible,46,The formula on the sheet was used by the engineer.,on,"6,955.73",5.55,control,0.0788,,,,,
Plausible,47,The question about the table was answered by the expert.,about,"3,631.49",5.268,control,0.1604,,,,,
Plausible,48,The stores with the games were managed by the owner.,with,"5,048.33",5.411,control,0.1303,,,,,
Plausible,49,The investigation into the statement was conducted by the police.,into,844.59,4.634,control,0.2387,,,,,
Plausible,50,The date of the concert was considered by the committee.,of,"11,577.24",5.771,control,0.2226,,,,,
Implausible,1,The book about the dog was walked by the audience.,about,"3,631.49",5.268,control,0.2166,,,,,
Implausible,2,The dinner at the opera was heard by the guests.,at,"3,217.10",5.215,control,0.1776,,,,,
Implausible,3,The song about the book was read by the band.,about,"3,631.49",5.268,control,0.2379,,,,,
Implausible,4,The painting inspired by music was heard by the museum.,by,"1,340.47",4.835,control,0.2602,,,,,
Implausible,5,The report about the art was painted by the committee.,about,"3,631.49",5.268,control,0.3478,,,,,
Implausible,6,The plans for the animals were fed by the students.,for,"6,895.10",5.546,control,0.3389,,,,,
Implausible,7,The conversation about his arm was hurt by the man.,about,"3,631.49",5.268,control,0.0812,,,,,
Implausible,8,The car in the musical was performed by the owner.,in,"9,773.41",5.698,control,0.1215,,,,,
Implausible,9,The breakfast in the picture was drawn by the chef.,in,"9,773.41",5.698,control,0.1597,,,,,
Implausible,10,The movie about the tree was grown by the journalist.,about,"3,631.49",5.268,control,0.0834,,,,,
Implausible,11,The game about the language was spoken by the children.,about,"3,631.49",5.268,control,0.052,,,,,
Implausible,12,The software for the student was hurt at the university.,for,"6,895.10",5.546,control,0.1531,,,,,
Implausible,13,The house from the book was read by the agent.,from,"2,039.06",5.017,control,0.1148,,,,,
Implausible,14,The clothes for the models were fired by the staff.,for,"6,895.10",5.546,control,0.2001,,,,,
Implausible,15,The photograph of the newspaper was written in the gallery.,of,"11,577.24",5.771,control,0.2077,,,,,
Implausible,16,The poster with the demand was cried by the students.,with,"5,048.33",5.411,control,0.0798,,,,,
Implausible,17,The prize from the race was run by the boy.,from,"2,039.06",5.017,control,0.1166,,,,,
Implausible,18,The story about the animal was injured by the audience.,about,"3,631.49",5.268,control,0.1007,,,,,
Implausible,19,The advice for the game was played by the friend.,for,"6,895.10",5.546,control,0.139,,,,,
Implausible,20,The garden in the book was read by the man.,in,"9,773.41",5.698,control,0.0916,,,,,
Implausible,21,The poem for the woman was taught by the professor.,for,"6,895.10",5.546,control,0.1781,,,,,
Implausible,22,The chair for the boy was injured by the parents.,for,"6,895.10",5.546,control,0.1344,,,,,
Implausible,23,The decision about the art was painted by the team.,about,"3,631.49",5.268,control,0.2222,,,,,
Implausible,24,The email about the garden was grown by the manager.,about,"3,631.49",5.268,control,0.1306,,,,,
Implausible,25,The plan regarding the bear was caught by the officer.,regarding,8.47,2.636,control,0.1315,,,,,
Implausible,26,The event from the poster was torn by the guests.,from,"2,039.06",5.017,control,0.3316,,,,,
Implausible,27,The story about the money was spent by the intern.,about,"3,631.49",5.268,control,0.0454,,,,,
Implausible,28,The mystery surrounding the coat was worn by the author.,surrounding,3.76,2.286,control,0.0687,,,,,
Implausible,29,The contract for the vehicle was driven by the manager.,for,"6,895.10",5.546,control,0.3404,,,,,
Implausible,30,The schedule on the calendar was colored by the employees.,on,"6,955.73",5.55,control,0.0917,,,,,
Implausible,31,The training for the course was taught by the participants.,for,"6,895.10",5.546,control,0.1124,,,,,
Implausible,32,The experiments on the animals were fed by the professor.,on,"6,955.73",5.55,control,0.294,,,,,
Implausible,33,The song about the picture was drawn by the artist.,about,"3,631.49",5.268,control,0.3365,,,,,
Implausible,34,The application for the path was walked by the authorities.,for,"6,895.10",5.546,control,0.1777,,,,,
Implausible,35,The issue with the plant was grown by the management.,with,"5,048.33",5.411,control,0.1154,,,,,
Implausible,36,The challenge with the image was colored by the team.,with,"5,048.33",5.411,control,0.0995,,,,,
Implausible,37,The meeting on the calendar was drawn by the board.,on,"6,955.73",5.55,control,0.1813,,,,,
Implausible,38,The film about the flower was grown by the studio.,about,"3,631.49",5.268,control,0.1276,,,,,
Implausible,39,The campaign about the sign was painted by the lawyer.,about,"3,631.49",5.268,control,0.1554,,,,,
Implausible,40,The studies on the workers were fired by the scholar.,on,"6,955.73",5.55,control,0.1826,,,,,
Implausible,41,The lecture about the church was painted by the artist.,about,"3,631.49",5.268,control,0.47,,,,,
Implausible,42,The road in the movie was shot after the president.,in,"9,773.41",5.698,control,0.1142,,,,,
Implausible,43,The agreement about the bridge was measured by the government.,about,"3,631.49",5.268,control,0.2457,,,,,
Implausible,44,The goal for the day was spent by the runner.,for,"6,895.10",5.546,control,0.1459,,,,,
Implausible,45,The novel about the mouse was caught by the critics.,about,"3,631.49",5.268,control,0.1336,,,,,
Implausible,46,The formula on the sheet was torn by the engineer.,on,"6,955.73",5.55,control,0.1575,,,,,
Implausible,47,The question about the table was moved by the expert.,about,"3,631.49",5.268,control,0.0794,,,,,
Implausible,48,The stores with the games were played by the owner.,with,"5,048.33",5.411,control,0.1724,,,,,
Implausible,49,The investigation into the statement was spoken by the police.,into,844.59,4.634,control,0.0379,,,,,
Implausible,50,The date of the concert was performed by the committee.,of,"11,577.24",5.771,control,0.155,,,,,
