Plausibility,sentence_pair,Sentence,lure_or_control_word,Lure_or_Control_SUBTLWF,Lure_or_Control_LgSUBTLWF,lure_or_control,Lure_and_control_attn,baseline_attn,Baseline attn: from the attn directing critical word 'enjoyed' to the baseline word 'about',,,
Implausible,1,The book about the food was tasted by the audience.,tasted,5.75,2.468,lure,0.1218,0.1859,,,,
Implausible,2,The cake by the flour was measured by the guests.,measured,2.82,2.161,lure,0.0282,0.1153,,,,
Implausible,3,The songs about the flowers were watered by the band.,watered,0.96,1.699,lure,0.1012,0.132,,,,
Implausible,4,The painting inspired by music was heard by the museum.,heard,387.75,4.296,lure,0.0119,0.1137,,,,
Implausible,5,The report about the art was painted by the committee.,painted,13.92,2.852,lure,0.1637,0.1894,,,,
Implausible,6,The app for the recipe was cooked by the investors.,cooked,9.51,2.687,lure,0.0159,0.3614,,,,
Implausible,7,The speech about the mountain was climbed by the audience.,climbed,5,2.408,lure,0.0178,0.102,,,,
Implausible,8,The car in the musical was sung by the owner.,sung,3.49,2.253,lure,0.0313,0.0878,,,,
Implausible,9,The meal in the picture was drawn by the chef.,drawn,10.63,2.735,lure,0.0172,0.1027,,,,
Implausible,10,The movie about the garden was planted by the reviewers.,planted,8.94,2.66,lure,0.0759,0.2213,,,,
Implausible,11,The tank with the oxygen was breathed by the diver.,breathed,1.39,1.857,lure,0.041,0.5702,,,,
Implausible,12,The interview for the career was dreamed by the student.,dreamed,15.37,2.895,lure,0.0314,0.1519,,,,
Implausible,13,The house in the novel was read by the agent.,read,241.22,4.09,lure,0.0107,0.1073,,,,
Implausible,14,The shirt with the flower was grown by the model.,grown,25,3.106,lure,0.0416,0.5758,,,,
Implausible,15,The photograph near the cocktail was tasted by the gallery.,tasted,5.75,2.468,lure,0.0238,0.026,,,,
Implausible,16,The lesson about the plane was flown by the students.,flown,4.55,2.367,lure,0.1988,0.1361,,,,
Implausible,17,The gift by the boat was sailed by the boy.,sailed,3.65,2.272,lure,0.0229,0.0291,,,,
Implausible,18,The joke about the pie was baked by the audience.,baked,6.69,2.534,lure,0.2412,0.1106,,,,
Implausible,19,The advice about the computer was hacked by the friend.,hacked,4.22,2.334,lure,0.1792,0.1724,,,,
Implausible,20,The garden by the jacket was worn by the farmer.,worn,10.08,2.712,lure,0.1132,0.1243,,,,
Implausible,21,The poem about the feast was cooked by the poet.,cooked,9.51,2.687,lure,0.0277,0.1798,,,,
Implausible,22,The chairs by the snacks were eaten by the customers.,eaten,18.18,2.967,lure,0.0474,0.0602,,,,
Implausible,23,The decision about the artwork was painted by the group.,painted,13.92,2.852,lure,0.0666,0.1856,,,,
Implausible,24,The email about the basket was woven by the manager.,woven,0.63,1.518,lure,0.2427,0.0409,,,,
Implausible,25,The plan for the beverage was tasted by the leaders.,tasted,5.75,2.468,lure,0.0731,0.2469,,,,
Implausible,26,The dinner on the plane was flown by the guests.,flown,4.55,2.367,lure,0.0061,0.0928,,,,
Implausible,27,The story about the candy was swallowed by the children.,swallowed,6.71,2.535,lure,0.5555,0.0924,,,,
Implausible,28,The puzzle on the necklace was worn by the inventor.,worn,10.08,2.712,lure,0.0298,0.057,,,,
Implausible,29,The contract for the menu was tasted by the CEO.,tasted,5.75,2.468,lure,0.0161,0.3204,,,,
Implausible,30,The schedule on the calendar was colored by the employees.,colored,7.39,2.578,lure,0.0165,0.1086,,,,
Implausible,31,The training for the cuisine was eaten by the contestant.,eaten,18.18,2.967,lure,0.0173,0.4152,,,,
Implausible,32,The experiment on the glacier was climbed by the scientists.,climbed,5,2.408,lure,0.0206,0.1773,,,,
Implausible,33,The song about the art was drawn by the artist.,drawn,10.63,2.735,lure,0.0158,0.218,,,,
Implausible,34,The application for the song was sung by the producer.,sung,3.49,2.253,lure,0.0397,0.1805,,,,
Implausible,35,The issue with the floor was scratched by the management.,scratched,4.47,2.36,lure,0.1116,0.1961,,,,
Implausible,36,The challenge with the bread was baked by the team.,baked,6.69,2.534,lure,0.1059,0.1371,,,,
Implausible,37,The meeting about the art was drawn by the board.,drawn,10.63,2.735,lure,0.016,0.1408,,,,
Implausible,38,The film about the tree was grown by the studio.,grown,25,3.106,lure,0.1016,0.3524,,,,
Implausible,39,The campaign about the helicopter was flown by the politician.,flown,4.55,2.367,lure,0.1188,0.3986,,,,
Implausible,40,The studies about the cars were cleaned by the scholar.,cleaned,17.78,2.958,lure,0.3188,0.1432,,,,
Implausible,41,The lecture about the masterpiece was painted by the students.,painted,13.92,2.852,lure,0.0589,0.0951,,,,
Implausible,42,The road in the movie was written by the explorers.,written,44.06,3.352,lure,0.0311,0.0599,,,,
Implausible,43,The plan for the recipe was baked by the chefs.,baked,6.69,2.534,lure,0.0318,0.2109,,,,
Implausible,44,The goal for the concert was sung by the girl.,sung,3.49,2.253,lure,0.0726,0.1387,,,,
Implausible,45,The novel about the boat was sailed by the critics.,sailed,3.65,2.272,lure,0.0295,0.269,,,,
Implausible,46,The formula on the board was cleaned by the engineers.,cleaned,17.78,2.958,lure,0.0266,0.0557,,,,
Implausible,47,The question about the table was moved by the artist.,moved,69.33,3.549,lure,0.0061,0.0687,,,,
Implausible,48,The stores with the games were played by the investor.,played,56.27,3.458,lure,0.0428,0.2889,,,,
Implausible,49,The investigations regarding the drugs were smoked by the police.,smoked,7,2.554,lure,0.0397,0.0644,,,,
Implausible,50,The program for the picture was drawn by the committee.,drawn,10.63,2.735,lure,0.0563,0.3475,,,,
Plausible,1,The book about the food was enjoyed by the audience.,about,"3,631.49",5.268,control,0.2777,,,,,
Plausible,2,The cake by the flour was enjoyed by the guests.,by,"1,340.47",4.835,control,0.0537,,,,,
Plausible,3,The songs about the flowers were performed by the band.,about,"3,631.49",5.268,control,0.3308,,,,,
Plausible,4,The painting inspired by music was exhibited by the museum.,by,"1,340.47",4.835,control,0.0541,,,,,
Plausible,5,The report about the art was reviewed by the committee.,about,"3,631.49",5.268,control,0.3691,,,,,
Plausible,6,The app for the recipe was funded by the investors.,for,"6,895.10",5.546,control,0.1339,,,,,
Plausible,7,The speech about the mountain was praised by the audience.,about,"3,631.49",5.268,control,0.1762,,,,,
Plausible,8,The car in the musical was driven by the owner.,in,"9,773.41",5.698,control,0.0952,,,,,
Plausible,9,The meal in the picture was created by the chef.,in,"9,773.41",5.698,control,0.1549,,,,,
Plausible,10,The movie about the garden was criticized by the reviewers.,about,"3,631.49",5.268,control,0.128,,,,,
Plausible,11,The tank with the oxygen was grabbed by the diver.,with,"5,048.33",5.411,control,0.3369,,,,,
Plausible,12,The interview for the career was completed by the student.,for,"6,895.10",5.546,control,0.0367,,,,,
Plausible,13,The house in the novel was sold by the agent.,in,"9,773.41",5.698,control,0.052,,,,,
Plausible,14,The shirt with the flower was worn by the model.,with,"5,048.33",5.411,control,0.1837,,,,,
Plausible,15,The photograph near the cocktail was displayed by the gallery.,near,83.1,3.627,control,0.0137,,,,,
Plausible,16,The lesson about the plane was appreciated by the students.,about,"3,631.49",5.268,control,0.1207,,,,,
Plausible,17,The gift by the boat was opened by the boy.,by,"1,340.47",4.835,control,0.0401,,,,,
Plausible,18,The joke about the pie was enjoyed by the audience.,about,"3,631.49",5.268,control,0.1161,,,,,
Plausible,19,The advice about the computer was followed by the friend.,about,"3,631.49",5.268,control,0.0299,,,,,
Plausible,20,The garden by the jacket was watered by the farmer.,by,"1,340.47",4.835,control,0.0467,,,,,
Plausible,21,The poem about the feast was read by the poet.,about,"3,631.49",5.268,control,0.1709,,,,,
Plausible,22,The chairs by the snacks were bought by the customers.,by,"1,340.47",4.835,control,0.0345,,,,,
Plausible,23,The decision about the artwork was supported by the group.,about,"3,631.49",5.268,control,0.1133,,,,,
Plausible,24,The email about the basket was read by the manager.,about,"3,631.49",5.268,control,0.0716,,,,,
Plausible,25,The plan for the beverage was devised by the leaders.,for,"6,895.10",5.546,control,0.1842,,,,,
Plausible,26,The dinner on the plane was attended by the guests.,on,"6,955.73",5.55,control,0.1513,,,,,
Plausible,27,The story about the candy was remembered by the children.,about,"3,631.49",5.268,control,0.1893,,,,,
Plausible,28,The puzzle on the necklace was solved by the inventor.,on,"6,955.73",5.55,control,0.0993,,,,,
Plausible,29,The contract for the menu was drafted by the CEO.,for,"6,895.10",5.546,control,0.1756,,,,,
Plausible,30,The schedule on the calendar was followed by the employees.,on,"6,955.73",5.55,control,0.0884,,,,,
Plausible,31,The training for the cuisine was completed by the contestant.,for,"6,895.10",5.546,control,0.3364,,,,,
Plausible,32,The experiment on the glacier was conducted by the scientists.,on,"6,955.73",5.55,control,0.2506,,,,,
Plausible,33,The song about the art was recorded by the artist.,about,"3,631.49",5.268,control,0.2311,,,,,
Plausible,34,The application for the song was approved by the producer.,for,"6,895.10",5.546,control,0.2183,,,,,
Plausible,35,The issue with the floor was addressed by the management.,with,"5,048.33",5.411,control,0.2821,,,,,
Plausible,36,The challenge with the bread was overcome by the team.,with,"5,048.33",5.411,control,0.0586,,,,,
Plausible,37,The meeting about the art was held by the board.,about,"3,631.49",5.268,control,0.1203,,,,,
Plausible,38,The film about the tree was released by the studio.,about,"3,631.49",5.268,control,0.2655,,,,,
Plausible,39,The campaign about the helicopter was led by the politician.,about,"3,631.49",5.268,control,0.2198,,,,,
Plausible,40,The studies about the cars were published by the scholar.,about,"3,631.49",5.268,control,0.2072,,,,,
Plausible,41,The lecture about the masterpiece was attended by the students.,about,"3,631.49",5.268,control,0.084,,,,,
Plausible,42,The road in the movie was traveled by the explorers.,in,"9,773.41",5.698,control,0.0314,,,,,
Plausible,43,The plan for the recipe was reached by the chefs.,for,"6,895.10",5.546,control,0.3394,,,,,
Plausible,44,The goal for the concert was achieved by the girl.,for,"6,895.10",5.546,control,0.1313,,,,,
Plausible,45,The novel about the boat was read by the critics.,about,"3,631.49",5.268,control,0.1828,,,,,
Plausible,46,The formula on the board was derived by the engineers.,on,"6,955.73",5.55,control,0.1053,,,,,
Plausible,47,The question about the table was answered by the artist.,about,"3,631.49",5.268,control,0.1454,,,,,
Plausible,48,The stores with the games were managed by the investor.,with,"5,048.33",5.411,control,0.103,,,,,
Plausible,49,The investigations regarding the drugs were conducted by the police.,regarding,8.47,2.636,control,0.0239,,,,,
Plausible,50,The program for the picture was evaluated by the committee.,for,"6,895.10",5.546,control,0.3504,,,,,
Implausible,1,The book about the food was tasted by the audience.,about,"3,631.49",5.268,control,0.1859,,,,,
Implausible,2,The cake by the flour was measured by the guests.,by,"1,340.47",4.835,control,0.1153,,,,,
Implausible,3,The songs about the flowers were watered by the band.,about,"3,631.49",5.268,control,0.132,,,,,
Implausible,4,The painting inspired by music was heard by the museum.,by,"1,340.47",4.835,control,0.1137,,,,,
Implausible,5,The report about the art was painted by the committee.,about,"3,631.49",5.268,control,0.1894,,,,,
Implausible,6,The app for the recipe was cooked by the investors.,for,"6,895.10",5.546,control,0.3614,,,,,
Implausible,7,The speech about the mountain was climbed by the audience.,about,"3,631.49",5.268,control,0.102,,,,,
Implausible,8,The car in the musical was sung by the owner.,in,"9,773.41",5.698,control,0.0878,,,,,
Implausible,9,The meal in the picture was drawn by the chef.,in,"9,773.41",5.698,control,0.1027,,,,,
Implausible,10,The movie about the garden was planted by the reviewers.,about,"3,631.49",5.268,control,0.2213,,,,,
Implausible,11,The tank with the oxygen was breathed by the diver.,with,"5,048.33",5.411,control,0.5702,,,,,
Implausible,12,The interview for the career was dreamed by the student.,for,"6,895.10",5.546,control,0.1519,,,,,
Implausible,13,The house in the novel was read by the agent.,in,"9,773.41",5.698,control,0.1073,,,,,
Implausible,14,The shirt with the flower was grown by the model.,with,"5,048.33",5.411,control,0.5758,,,,,
Implausible,15,The photograph near the cocktail was tasted by the gallery.,near,83.1,3.627,control,0.026,,,,,
Implausible,16,The lesson about the plane was flown by the students.,about,"3,631.49",5.268,control,0.1361,,,,,
Implausible,17,The gift by the boat was sailed by the boy.,by,"1,340.47",4.835,control,0.0291,,,,,
Implausible,18,The joke about the pie was baked by the audience.,about,"3,631.49",5.268,control,0.1106,,,,,
Implausible,19,The advice about the computer was hacked by the friend.,about,"3,631.49",5.268,control,0.1724,,,,,
Implausible,20,The garden by the jacket was worn by the farmer.,by,"1,340.47",4.835,control,0.1243,,,,,
Implausible,21,The poem about the feast was cooked by the poet.,about,"3,631.49",5.268,control,0.1798,,,,,
Implausible,22,The chairs by the snacks were eaten by the customers.,by,"1,340.47",4.835,control,0.0602,,,,,
Implausible,23,The decision about the artwork was painted by the group.,about,"3,631.49",5.268,control,0.1856,,,,,
Implausible,24,The email about the basket was woven by the manager.,about,"3,631.49",5.268,control,0.0409,,,,,
Implausible,25,The plan for the beverage was tasted by the leaders.,for,"6,895.10",5.546,control,0.2469,,,,,
Implausible,26,The dinner on the plane was flown by the guests.,on,"6,955.73",5.55,control,0.0928,,,,,
Implausible,27,The story about the candy was swallowed by the children.,about,"3,631.49",5.268,control,0.0924,,,,,
Implausible,28,The puzzle on the necklace was worn by the inventor.,on,"6,955.73",5.55,control,0.057,,,,,
Implausible,29,The contract for the menu was tasted by the CEO.,for,"6,895.10",5.546,control,0.3204,,,,,
Implausible,30,The schedule on the calendar was colored by the employees.,on,"6,955.73",5.55,control,0.1086,,,,,
Implausible,31,The training for the cuisine was eaten by the contestant.,for,"6,895.10",5.546,control,0.4152,,,,,
Implausible,32,The experiment on the glacier was climbed by the scientists.,on,"6,955.73",5.55,control,0.1773,,,,,
Implausible,33,The song about the art was drawn by the artist.,about,"3,631.49",5.268,control,0.218,,,,,
Implausible,34,The application for the song was sung by the producer.,for,"6,895.10",5.546,control,0.1805,,,,,
Implausible,35,The issue with the floor was scratched by the management.,with,"5,048.33",5.411,control,0.1961,,,,,
Implausible,36,The challenge with the bread was baked by the team.,with,"5,048.33",5.411,control,0.1371,,,,,
Implausible,37,The meeting about the art was drawn by the board.,about,"3,631.49",5.268,control,0.1408,,,,,
Implausible,38,The film about the tree was grown by the studio.,about,"3,631.49",5.268,control,0.3524,,,,,
Implausible,39,The campaign about the helicopter was flown by the politician.,about,"3,631.49",5.268,control,0.3986,,,,,
Implausible,40,The studies about the cars were cleaned by the scholar.,about,"3,631.49",5.268,control,0.1432,,,,,
Implausible,41,The lecture about the masterpiece was painted by the students.,about,"3,631.49",5.268,control,0.0951,,,,,
Implausible,42,The road in the movie was written by the explorers.,in,"9,773.41",5.698,control,0.0599,,,,,
Implausible,43,The plan for the recipe was baked by the chefs.,for,"6,895.10",5.546,control,0.2109,,,,,
Implausible,44,The goal for the concert was sung by the girl.,for,"6,895.10",5.546,control,0.1387,,,,,
Implausible,45,The novel about the boat was sailed by the critics.,about,"3,631.49",5.268,control,0.269,,,,,
Implausible,46,The formula on the board was cleaned by the engineers.,on,"6,955.73",5.55,control,0.0557,,,,,
Implausible,47,The question about the table was moved by the artist.,about,"3,631.49",5.268,control,0.0687,,,,,
Implausible,48,The stores with the games were played by the investor.,with,"5,048.33",5.411,control,0.2889,,,,,
Implausible,49,The investigations regarding the drugs were smoked by the police.,regarding,8.47,2.636,control,0.0644,,,,,
Implausible,50,The program for the picture was drawn by the committee.,for,"6,895.10",5.546,control,0.3475,,,,,
