Plausibility,sentence_pair,Sentence,lure_or_control_word,Lure_or_Control_SUBTLWF,Lure_or_Control_LgSUBTLWF,lure_or_control,Lure_and_control_attn,baseline_attn,Baseline attn: attn from the attn directing word 'enjoyed' to the baseline word 'about' ,,,
Plausible,39,The campaign about the helicopter was led by the politician.,led,24.02,3.088,lure,0.0587,0.2027,,,,
Plausible,40,The studies about the cars were published by the scholar.,published,7.2,2.566,lure,0.0067,0.0318,,,,
Plausible,41,The lecture about the masterpiece was attended by the students.,attended,3.88,2.299,lure,0.0528,0.0893,,,,
Plausible,42,The road in the movie was traveled by the explorers.,traveled,6.73,2.537,lure,0.0807,0.0776,,,,
Plausible,43,The plan for the recipe was reached by the chefs.,reached,24.73,3.101,lure,0.1513,0.0355,,,,
Plausible,44,The goal for the concert was achieved by the girl.,achieved,4.29,2.342,lure,0.0796,0.0502,,,,
Plausible,45,The novel about the boat was read by the critics.,read,241.22,4.09,lure,0.0274,0.1592,,,,
Plausible,46,The formula on the board was derived by the engineers.,derived,1.04,1.732,lure,0.0337,0.0393,,,,
Plausible,47,The question about the table was answered by the carpenter.,answered,15.2,2.89,lure,0.0923,0.0526,,,,
Plausible,48,The stores with the games were managed by the investor.,managed,16.59,2.928,lure,0.0473,0.0558,,,,
Plausible,49,The investigations regarding the drugs were conducted by the police.,conducted,3.2,2.215,lure,0.0541,0.0816,,,,
Plausible,50,The program for the picture was evaluated by the committee.,evaluated,0.61,1.505,lure,0.0605,0.1041,,,,
Implausible,1,The book about the food was tasted by the audience.,tasted,5.75,2.468,lure,0.168,0.0555,,,,
Implausible,2,The cake by the flour was measured by the guests.,measured,2.82,2.161,lure,0.1123,0.0901,,,,
Implausible,3,The songs about the flowers were watered by the band.,watered,0.96,1.699,lure,0.0899,0.0821,,,,
Implausible,4,The painting inspired by music was heard by the museum.,heard,387.75,4.296,lure,0.1989,0.1485,,,,
Implausible,5,The report about the art was painted by the committee.,painted,13.92,2.852,lure,0.2378,0.0841,,,,
Implausible,6,The app for the recipe was cooked by the investors.,cooked,9.51,2.687,lure,0.13,0.1097,,,,
Implausible,7,The speech about the mountain was climbed by the audience.,climbed,5,2.408,lure,0.0818,0.1238,,,,
Implausible,8,The car in the musical was sung by the owner.,sung,3.49,2.253,lure,0.0661,0.1634,,,,
Implausible,9,The meal in the picture was drawn by the chef.,drawn,10.63,2.735,lure,0.0501,0.1149,,,,
Implausible,10,The movie about the garden was planted by the reviewers.,planted,8.94,2.66,lure,0.0607,0.1528,,,,
Implausible,11,The tank with the oxygen was breathed by the diver.,breathed,1.39,1.857,lure,0.2181,0.0554,,,,
Implausible,12,The interview for the career was dreamed by the student.,dreamed,15.37,2.895,lure,0.2329,0.0431,,,,
Implausible,13,The house in the novel was read by the agent.,read,241.22,4.09,lure,0.0652,0.126,,,,
Implausible,14,The shirt by the kite was flown by the model.,flown,4.55,2.367,lure,0.1506,0.0782,,,,
Implausible,15,The photograph near the cocktail was tasted by the gallery.,tasted,5.75,2.468,lure,0.1462,0.096,,,,
Implausible,16,The lesson about the plane was flown by the students.,flown,4.55,2.367,lure,0.1727,0.0822,,,,
Implausible,17,The gift by the boat was sailed by the boy.,sailed,3.65,2.272,lure,0.112,0.1218,,,,
Implausible,18,The joke about the pie was baked by the audience.,baked,6.69,2.534,lure,0.1693,0.1175,,,,
Implausible,19,The advice about the computer was hacked by the friend.,hacked,4.22,2.334,lure,0.1059,0.1412,,,,
Implausible,20,The garden by the jacket was worn by the farmer.,worn,10.08,2.712,lure,0.1232,0.1112,,,,
Implausible,21,The poem about the feast was cooked by the poet.,cooked,9.51,2.687,lure,0.1908,0.0941,,,,
Implausible,22,The chairs by the snacks were eaten by the customers.,eaten,18.18,2.967,lure,0.1559,0.0483,,,,
Implausible,23,The decision about the artwork was painted by the group.,painted,13.92,2.852,lure,0.1851,0.1061,,,,
Implausible,24,The email about the basket was woven by the manager.,woven,0.63,1.518,lure,0.0592,0.1013,,,,
Implausible,25,The plan for the beverage was sipped by the leaders.,sipped,0.18,1,lure,0.1183,0.0846,,,,
Implausible,26,The dinner on the plane was flown by the guests.,flown,4.55,2.367,lure,0.0393,0.0444,,,,
Implausible,27,The story about the candy was swallowed by the children.,swallowed,6.71,2.535,lure,0.1411,0.0709,,,,
Implausible,28,The puzzle on the necklace was worn by the inventor.,worn,10.08,2.712,lure,0.0978,0.0843,,,,
Implausible,29,The contract for the menu was tasted by the CEO.,tasted,5.75,2.468,lure,0.0743,0.0388,,,,
Implausible,30,The schedule on the calendar was colored by the employees.,colored,7.39,2.578,lure,0.0415,0.1253,,,,
Implausible,31,The training for the cuisine was eaten by the contestant.,eaten,18.18,2.967,lure,0.1663,0.0521,,,,
Implausible,32,The experiment on the glacier was climbed by the scientists.,climbed,5,2.408,lure,0.0543,0.064,,,,
Implausible,33,The song about the art was drawn by the artist. ,drawn,10.63,2.735,lure,0.1495,0.1905,,,,
Implausible,34,The application for the song was sung by the producer.,sung,3.49,2.253,lure,0.0472,0.0561,,,,
Implausible,35,The issue with the floor was scratched by the management.,scratched,4.47,2.36,lure,0.2605,0.0336,,,,
Implausible,36,The challenge with the bread was baked by the team.,baked,6.69,2.534,lure,0.157,0.0878,,,,
Implausible,37,The meeting about the art was drawn by the board.,drawn,10.63,2.735,lure,0.2188,0.1038,,,,
Implausible,38,The film about the tree was grown by the studio.,grown,25,3.106,lure,0.2011,0.1127,,,,
Implausible,39,The campaign about the helicopter was flown by the politician.,flown,4.55,2.367,lure,0.1016,0.1179,,,,
Implausible,40,The studies about the cars were cleaned by the scholar.,cleaned,17.78,2.958,lure,0.0886,0.1187,,,,
Implausible,41,The lecture about the masterpiece was painted by the students.,painted,13.92,2.852,lure,0.1358,0.1134,,,,
Implausible,42,The road in the movie was written by the explorers.,written,44.06,3.352,lure,0.047,0.0628,,,,
Implausible,43,The plan for the recipe was baked by the chefs.,baked,6.69,2.534,lure,0.1672,0.0565,,,,
Implausible,44,The goal for the concert was sung by the girl.,sung,3.49,2.253,lure,0.0501,0.0566,,,,
Implausible,45,The novel about the boat was sailed by the critics.,sailed,3.65,2.272,lure,0.0867,0.1443,,,,
Implausible,46,The formula on the board was cleaned by the engineers.,cleaned,17.78,2.958,lure,0.0606,0.0662,,,,
Implausible,47,The question about the table was moved by the carpenter.,moved,69.33,3.549,lure,0.1008,0.0322,,,,
Implausible,48,The stores with the games were played by the investor.,played,56.27,3.458,lure,0.214,0.0628,,,,
Implausible,49,The investigations regarding the drugs were smoked by the police.,smoked,7,2.554,lure,0.1651,0.0681,,,,
Implausible,50,The program for the picture was drawn by the committee.,drawn,10.63,2.735,lure,0.0958,0.083,,,,
Plausible,1,The book about the food was enjoyed by the audience.,about,"3,631.49",5.268,control,0.0757,,,,,
Plausible,2,The cake by the flour was enjoyed by the guests.,by,"1,340.47",4.835,control,0.1453,,,,,
Plausible,3,The songs about the flowers were performed by the band.,about,"3,631.49",5.268,control,0.0666,,,,,
Plausible,4,The painting inspired by music was exhibited by the museum.,by,"1,340.47",4.835,control,0.0867,,,,,
Plausible,5,The report about the art was reviewed by the committee.,about,"3,631.49",5.268,control,0.0807,,,,,
Plausible,6,The app for the recipe was funded by the investors.,for,"6,895.10",5.546,control,0.0939,,,,,
Plausible,7,The speech about the mountain was praised by the audience.,about,"3,631.49",5.268,control,0.11,,,,,
Plausible,8,The car in the musical was driven by the owner.,in,"9,773.41",5.698,control,0.122,,,,,
Plausible,9,The meal in the picture was created by the chef.,in,"9,773.41",5.698,control,0.0741,,,,,
Plausible,10,The movie about the garden was criticized by the reviewers.,about,"3,631.49",5.268,control,0.1398,,,,,
Plausible,11,The tank with the oxygen was grabbed by the diver.,with,"5,048.33",5.411,control,0.0946,,,,,
Plausible,12,The interview for the career was completed by the student.,for,"6,895.10",5.546,control,0.0485,,,,,
Plausible,13,The house in the novel was sold by the agent.,in,"9,773.41",5.698,control,0.0905,,,,,
Plausible,14,The shirt by the kite was worn by the model.,by,"1,340.47",4.835,control,0.1285,,,,,
Plausible,15,The photograph near the cocktail was displayed by the gallery.,near,83.1,3.627,control,0.1695,,,,,
Plausible,16,The lesson about the plane was appreciated by the students.,about,"3,631.49",5.268,control,0.0633,,,,,
Plausible,17,The gift by the boat was opened by the boy.,by,"1,340.47",4.835,control,0.0957,,,,,
Plausible,18,The joke about the pie was enjoyed by the audience.,about,"3,631.49",5.268,control,0.0612,,,,,
Plausible,19,The advice about the computer was followed by the friend.,about,"3,631.49",5.268,control,0.0426,,,,,
Plausible,20,The garden by the jacket was watered by the farmer.,by,"1,340.47",4.835,control,0.1251,,,,,
Plausible,21,The poem about the feast was read by the poet.,about,"3,631.49",5.268,control,0.0975,,,,,
Plausible,22,The chairs by the snacks were bought by the customers.,by,"1,340.47",4.835,control,0.0867,,,,,
Plausible,23,The decision about the artwork was supported by the group.,about,"3,631.49",5.268,control,0.0586,,,,,
Plausible,24,The email about the basket was read by the manager.,about,"3,631.49",5.268,control,0.1282,,,,,
Plausible,25,The plan for the beverage was devised by the leaders.,for,"6,895.10",5.546,control,0.0252,,,,,
Plausible,26,The dinner on the plane was attended by the guests.,on,"6,955.73",5.55,control,0.084,,,,,
Plausible,27,The story about the candy was remembered by the children.,about,"3,631.49",5.268,control,0.0681,,,,,
Plausible,28,The puzzle on the necklace was solved by the inventor.,on,"6,955.73",5.55,control,0.1197,,,,,
Plausible,29,The contract for the menu was drafted by the CEO.,for,"6,895.10",5.546,control,0.0629,,,,,
Plausible,30,The schedule on the calendar was followed by the employees.,on,"6,955.73",5.55,control,0.097,,,,,
Plausible,31,The training for the cuisine was completed by the contestant.,for,"6,895.10",5.546,control,0.0413,,,,,
Plausible,32,The experiment on the glacier was conducted by the scientists.,on,"6,955.73",5.55,control,0.0641,,,,,
Plausible,33,The song about the art was recorded by the artist. ,about,"3,631.49",5.268,control,0.1638,,,,,
Plausible,34,The application for the song was approved by the producer.,for,"6,895.10",5.546,control,0.062,,,,,
Plausible,35,The issue with the floor was addressed by the management.,with,"5,048.33",5.411,control,0.0439,,,,,
Plausible,36,The challenge with the bread was overcome by the team.,with,"5,048.33",5.411,control,0.0477,,,,,
Plausible,37,The meeting about the art was held by the board.,about,"3,631.49",5.268,control,0.062,,,,,
Plausible,38,The film about the tree was released by the studio.,about,"3,631.49",5.268,control,0.0619,,,,,
Plausible,39,The campaign about the helicopter was led by the politician.,about,"3,631.49",5.268,control,0.2027,,,,,
Plausible,40,The studies about the cars were published by the scholar.,about,"3,631.49",5.268,control,0.0318,,,,,
Plausible,41,The lecture about the masterpiece was attended by the students.,about,"3,631.49",5.268,control,0.0893,,,,,
Plausible,42,The road in the movie was traveled by the explorers.,in,"9,773.41",5.698,control,0.0776,,,,,
Plausible,43,The plan for the recipe was reached by the chefs.,for,"6,895.10",5.546,control,0.0355,,,,,
Plausible,44,The goal for the concert was achieved by the girl.,for,"6,895.10",5.546,control,0.0502,,,,,
Plausible,45,The novel about the boat was read by the critics.,about,"3,631.49",5.268,control,0.1592,,,,,
Plausible,46,The formula on the board was derived by the engineers.,on,"6,955.73",5.55,control,0.0393,,,,,
Plausible,47,The question about the table was answered by the carpenter.,about,"3,631.49",5.268,control,0.0526,,,,,
Plausible,48,The stores with the games were managed by the investor.,with,"5,048.33",5.411,control,0.0558,,,,,
Plausible,49,The investigations regarding the drugs were conducted by the police.,regarding,8.47,2.636,control,0.0816,,,,,
Plausible,50,The program for the picture was evaluated by the committee.,for,"6,895.10",5.546,control,0.1041,,,,,
Implausible,1,The book about the food was tasted by the audience.,about,"3,631.49",5.268,control,0.0555,,,,,
Implausible,2,The cake by the flour was measured by the guests.,by,"1,340.47",4.835,control,0.0901,,,,,
Implausible,3,The songs about the flowers were watered by the band.,about,"3,631.49",5.268,control,0.0821,,,,,
Implausible,4,The painting inspired by music was heard by the museum.,by,"1,340.47",4.835,control,0.1485,,,,,
Implausible,5,The report about the art was painted by the committee.,about,"3,631.49",5.268,control,0.0841,,,,,
Implausible,6,The app for the recipe was cooked by the investors.,for,"6,895.10",5.546,control,0.1097,,,,,
Implausible,7,The speech about the mountain was climbed by the audience.,about,"3,631.49",5.268,control,0.1238,,,,,
Implausible,8,The car in the musical was sung by the owner.,in,"9,773.41",5.698,control,0.1634,,,,,
Implausible,9,The meal in the picture was drawn by the chef.,in,"9,773.41",5.698,control,0.1149,,,,,
Implausible,10,The movie about the garden was planted by the reviewers.,about,"3,631.49",5.268,control,0.1528,,,,,
Implausible,11,The tank with the oxygen was breathed by the diver.,with,"5,048.33",5.411,control,0.0554,,,,,
Implausible,12,The interview for the career was dreamed by the student.,for,"6,895.10",5.546,control,0.0431,,,,,
Implausible,13,The house in the novel was read by the agent.,in,"9,773.41",5.698,control,0.126,,,,,
Implausible,14,The shirt by the kite was flown by the model.,by,"1,340.47",4.835,control,0.0782,,,,,
Implausible,15,The photograph near the cocktail was tasted by the gallery.,near,83.1,3.627,control,0.096,,,,,
Implausible,16,The lesson about the plane was flown by the students.,about,"3,631.49",5.268,control,0.0822,,,,,
Implausible,17,The gift by the boat was sailed by the boy.,by,"1,340.47",4.835,control,0.1218,,,,,
Implausible,18,The joke about the pie was baked by the audience.,about,"3,631.49",5.268,control,0.1175,,,,,
Implausible,19,The advice about the computer was hacked by the friend.,about,"3,631.49",5.268,control,0.1412,,,,,
Implausible,20,The garden by the jacket was worn by the farmer.,by,"1,340.47",4.835,control,0.1112,,,,,
Implausible,21,The poem about the feast was cooked by the poet.,about,"3,631.49",5.268,control,0.0941,,,,,
Implausible,22,The chairs by the snacks were eaten by the customers.,by,"1,340.47",4.835,control,0.0483,,,,,
Implausible,23,The decision about the artwork was painted by the group.,about,"3,631.49",5.268,control,0.1061,,,,,
Implausible,24,The email about the basket was woven by the manager.,about,"3,631.49",5.268,control,0.1013,,,,,
Implausible,25,The plan for the beverage was sipped by the leaders.,for,"6,895.10",5.546,control,0.0846,,,,,
Implausible,26,The dinner on the plane was flown by the guests.,on,"6,955.73",5.55,control,0.0444,,,,,
Implausible,27,The story about the candy was swallowed by the children.,about,"3,631.49",5.268,control,0.0709,,,,,
Implausible,28,The puzzle on the necklace was worn by the inventor.,on,"6,955.73",5.55,control,0.0843,,,,,
Implausible,29,The contract for the menu was tasted by the CEO.,for,"6,895.10",5.546,control,0.0388,,,,,
Implausible,30,The schedule on the calendar was colored by the employees.,on,"6,955.73",5.55,control,0.1253,,,,,
Implausible,31,The training for the cuisine was eaten by the contestant.,for,"6,895.10",5.546,control,0.0521,,,,,
Implausible,32,The experiment on the glacier was climbed by the scientists.,on,"6,955.73",5.55,control,0.064,,,,,
Implausible,33,The song about the art was drawn by the artist. ,about,"3,631.49",5.268,control,0.1905,,,,,
Implausible,34,The application for the song was sung by the producer.,for,"6,895.10",5.546,control,0.0561,,,,,
Implausible,35,The issue with the floor was scratched by the management.,with,"5,048.33",5.411,control,0.0336,,,,,
Implausible,36,The challenge with the bread was baked by the team.,with,"5,048.33",5.411,control,0.0878,,,,,
Implausible,37,The meeting about the art was drawn by the board.,about,"3,631.49",5.268,control,0.1038,,,,,
Implausible,38,The film about the tree was grown by the studio.,about,"3,631.49",5.268,control,0.1127,,,,,
Implausible,39,The campaign about the helicopter was flown by the politician.,about,"3,631.49",5.268,control,0.1179,,,,,
Implausible,40,The studies about the cars were cleaned by the scholar.,about,"3,631.49",5.268,control,0.1187,,,,,
Implausible,41,The lecture about the masterpiece was painted by the students.,about,"3,631.49",5.268,control,0.1134,,,,,
Implausible,42,The road in the movie was written by the explorers.,in,"9,773.41",5.698,control,0.0628,,,,,
Implausible,43,The plan for the recipe was baked by the chefs.,for,"6,895.10",5.546,control,0.0565,,,,,
Implausible,44,The goal for the concert was sung by the girl.,for,"6,895.10",5.546,control,0.0566,,,,,
Implausible,45,The novel about the boat was sailed by the critics.,about,"3,631.49",5.268,control,0.1443,,,,,
Implausible,46,The formula on the board was cleaned by the engineers.,on,"6,955.73",5.55,control,0.0662,,,,,
Implausible,47,The question about the table was moved by the carpenter.,about,"3,631.49",5.268,control,0.0322,,,,,
Implausible,48,The stores with the games were played by the investor.,with,"5,048.33",5.411,control,0.0628,,,,,
Implausible,49,The investigations regarding the drugs were smoked by the police.,regarding,8.47,2.636,control,0.0681,,,,,
Implausible,50,The program for the picture was drawn by the committee.,for,"6,895.10",5.546,control,0.083,,,,,
