Plausibility,sentence_pair,Sentence,lure_or_control_word,Lure_or_Control_SUBTLWF,Lure_or_Control_LgSUBTLWF,lure_or_control,Lure_and_control_attn,baseline_attn
Implausible,13,The stage on the singer performed a concert.,singer,15.69,2.904,lure,0.1247,0.025
Implausible,14,A hospital in the doctor saved a life.,doctor,263.94,4.129,lure,0.0409,0.0169
Implausible,15,The factory in the engineer designed powerful engines.,engineer,11.69,2.776,lure,0.1279,0.058
Implausible,16,A beach at the runner helped the child.,runner,4.96,2.405,lure,0.0486,0.0569
Implausible,17,The shop in the worker fixed a car.,worker,10.94,2.747,lure,0.0863,0.0287
Implausible,18,A desert in the professor found an artifact.,professor,69.57,3.55,lure,0.1246,0.0223
Implausible,19,The restaurant in the chef prepared wonderful food.,chef,11.88,2.783,lure,0.15,0.0337
Implausible,20,A garden by the man collected some flowers.,man,"1,845.75",4.974,lure,0.1121,0.019
Implausible,21,The hall in the pilot drove the plane.,pilot,26.67,3.134,lure,0.1124,0.0825
Implausible,22,The lab in the professor grew rare plants.,professor,69.57,3.55,lure,0.075,0.0287
Implausible,23,The track on the runner set a record.,runner,4.96,2.405,lure,0.0411,0.0134
Implausible,24,A lab in the student made a discovery.,student,43.04,3.342,lure,0.0974,0.0424
Implausible,25,The door by the teacher planned a course.,teacher,55.73,3.454,lure,0.1241,0.0261
Implausible,26,An class in the assistant taught her students.,assistant,32.22,3.216,lure,0.0854,0.0294
Implausible,27,The scene at the captain stopped the fire.,captain,208.27,4.026,lure,0.087,0.0224
Implausible,28,A library in the poet wrote a manuscript.,poet,9.22,2.673,lure,0.1044,0.0436
Implausible,29,The restaurant in the singer played many songs.,singer,15.69,2.904,lure,0.0914,0.0672
Implausible,30,The garden in the cat watched a mouse.,cat,66.33,3.529,lure,0.0801,0.0476
Implausible,31,A library at the child read a book.,child,157.65,3.905,lure,0.0427,0.0207
Implausible,32,The studio in the painter made a portrait.,painter,6.75,2.538,lure,0.1146,0.0966
Implausible,33,An lab in the assistant conducted an experiment.,assistant,32.22,3.216,lure,0.1074,0.0327
Implausible,34,The hospital at the doctor treated a patient.,doctor,263.94,4.129,lure,0.0669,0.0389
Implausible,35,The park in the boy found yellow flowers.,boy,529.82,4.432,lure,0.1183,0.046
Implausible,36,The class in the professor explained a concept.,professor,69.57,3.55,lure,0.0975,0.0424
Implausible,37,The camera with the man observed distant mountains.,man,"1,845.75",4.974,lure,0.0962,0.0242
Implausible,38,The shop in the worker fixed an engine.,worker,10.94,2.747,lure,0.0863,0.0287
Implausible,39,The museum at the artist presented some pictures.,artist,28.63,3.165,lure,0.0958,0.0894
Implausible,40,An scene at the officer asked various questions.,officer,103.24,3.721,lure,0.1009,0.0259
Implausible,41,The field in the men picked fresh fruit.,men,372.76,4.279,lure,0.1897,0.0186
Implausible,42,An stage on the actor delivered a speech.,actor,26.33,3.128,lure,0.124,0.0116
Implausible,43,A conference at the journalist asked many questions.,journalist,6.1,2.494,lure,0.0948,0.0405
Implausible,44,The shop in the woman made fresh coffee.,woman,434.63,4.346,lure,0.0712,0.0409
Implausible,45,The river in the bear caught a bass.,bear,57.41,3.467,lure,0.0752,0.0308
Implausible,46,The trail on the group discovered a cave.,group,73.76,3.575,lure,0.0907,0.0357
Implausible,47,The field on the coach trained a runner.,coach,47.63,3.386,lure,0.0761,0.0166
Implausible,48,The city from the artist attended the ceremony.,artist,28.63,3.165,lure,0.0921,0.0569
Implausible,49,A hospital at the doctor saved a patient.,doctor,263.94,4.129,lure,0.0275,0.0269
Implausible,50,The office in the secretary helped a girl.,secretary,33.22,3.229,lure,0.0881,0.0356
Plausible,1,A dog on the roof watched the birds.,on,"6,955.73",5.55,control,0.0138,
Plausible,2,The cook in the kitchen made a soup.,in,"9,773.41",5.698,control,0.0342,
Plausible,3,The artist by the window painted a landscape.,by,"1,340.47",4.835,control,0.0198,
Plausible,4,The professor in the lab developed a treatment.,in,"9,773.41",5.698,control,0.0523,
Plausible,5,A student at the library studied her notes.,at,"3,217.10",5.215,control,0.0311,
Plausible,6,The boy by the house enjoyed the flowers.,by,"1,340.47",4.835,control,0.0329,
Plausible,7,The runner on the track won the championship.,on,"6,955.73",5.55,control,0.034,
Plausible,8,The officer in the room solved the mystery.,in,"9,773.41",5.698,control,0.0377,
Plausible,9,A cook in the restaurant prepared bread daily.,in,"9,773.41",5.698,control,0.0241,
Plausible,10,The teacher in the class inspired young minds.,in,"9,773.41",5.698,control,0.0354,
Plausible,11,The officer at the station prepared for work.,at,"3,217.10",5.215,control,0.0423,
Plausible,12,The author in the study wrote a novel.,in,"9,773.41",5.698,control,0.053,
Plausible,13,The singer on the stage performed a concert.,on,"6,955.73",5.55,control,0.0229,
Plausible,14,A doctor in the hospital saved a life.,in,"9,773.41",5.698,control,0.0258,
Plausible,15,The engineer in the factory designed powerful engines.,in,"9,773.41",5.698,control,0.0465,
Plausible,16,A runner at the beach helped the child.,at,"3,217.10",5.215,control,0.0362,
Plausible,17,The worker in the shop fixed a car.,in,"9,773.41",5.698,control,0.0488,
Plausible,18,A professor in the desert found an artifact.,in,"9,773.41",5.698,control,0.0267,
Plausible,19,The chef in the restaurant prepared wonderful food.,in,"9,773.41",5.698,control,0.0362,
Plausible,20,A man by the garden collected some flowers.,by,"1,340.47",4.835,control,0.0243,
Plausible,21,The pilot in the hall drove the plane.,in,"9,773.41",5.698,control,0.0479,
Plausible,22,The professor in the lab grew rare plants.,in,"9,773.41",5.698,control,0.0305,
Plausible,23,The runner on the track set a record.,on,"6,955.73",5.55,control,0.0157,
Plausible,24,A student in the lab made a discovery.,in,"9,773.41",5.698,control,0.0487,
Plausible,25,The teacher by the door planned a course.,by,"1,340.47",4.835,control,0.0283,
Plausible,26,An assistant in the class taught her students.,in,"9,773.41",5.698,control,0.0285,
Plausible,27,The captain at the scene stopped the fire.,at,"3,217.10",5.215,control,0.0327,
Plausible,28,A poet in the library wrote a manuscript.,in,"9,773.41",5.698,control,0.0424,
Plausible,29,The singer in the restaurant played many songs.,in,"9,773.41",5.698,control,0.0302,
Plausible,30,The cat in the garden watched a mouse.,in,"9,773.41",5.698,control,0.037,
Plausible,31,A child at the library read a book.,at,"3,217.10",5.215,control,0.0309,
Plausible,32,The painter in the studio made a portrait.,in,"9,773.41",5.698,control,0.0465,
Plausible,33,An assistant in the lab conducted an experiment.,in,"9,773.41",5.698,control,0.0294,
Plausible,34,The doctor at the hospital treated a patient.,at,"3,217.10",5.215,control,0.0515,
Plausible,35,The boy in the park found yellow flowers.,in,"9,773.41",5.698,control,0.0249,
Plausible,36,The professor in the class explained a concept.,in,"9,773.41",5.698,control,0.075,
Plausible,37,The man with the camera observed distant mountains.,with,"5,048.33",5.411,control,0.039,
Plausible,38,The worker in the shop fixed an engine.,in,"9,773.41",5.698,control,0.0488,
Plausible,39,The artist at the museum presented some pictures.,at,"3,217.10",5.215,control,0.0618,
Plausible,40,An officer at the scene asked various questions.,at,"3,217.10",5.215,control,0.0435,
Plausible,41,The men in the field picked fresh fruit.,in,"9,773.41",5.698,control,0.0352,
Plausible,42,An actor on the stage delivered a speech.,on,"6,955.73",5.55,control,0.017,
Plausible,43,A journalist at the conference asked many questions.,at,"3,217.10",5.215,control,0.0526,
Plausible,44,The woman in the shop made fresh coffee.,in,"9,773.41",5.698,control,0.057,
Plausible,45,The bear in the river caught a bass.,in,"9,773.41",5.698,control,0.0341,
Plausible,46,The group on the trail discovered a cave.,on,"6,955.73",5.55,control,0.06,
Plausible,47,The coach on the field trained a runner.,on,"6,955.73",5.55,control,0.0219,
Plausible,48,The artist from the city attended the ceremony.,from,"2,039.06",5.017,control,0.0648,
Plausible,49,A doctor at the hospital saved a patient.,at,"3,217.10",5.215,control,0.0391,
Plausible,50,The secretary in the office helped a girl.,in,"9,773.41",5.698,control,0.0315,
Implausible,1,A roof on the dog watched the birds.,on,"6,955.73",5.55,control,0.0167,
Implausible,2,The kitchen in the cook made a soup.,in,"9,773.41",5.698,control,0.0876,
Implausible,3,The window by the artist painted a landscape.,by,"1,340.47",4.835,control,0.0256,
Implausible,4,The lab in the professor developed a treatment.,in,"9,773.41",5.698,control,0.0496,
Implausible,5,A library at the student studied her notes.,at,"3,217.10",5.215,control,0.0222,
Implausible,6,The house by the boy enjoyed the flowers.,by,"1,340.47",4.835,control,0.0359,
Implausible,7,The track on the runner won the championship.,on,"6,955.73",5.55,control,0.0484,
Implausible,8,The room in the officer solved the mystery.,in,"9,773.41",5.698,control,0.0296,
Implausible,9,A restaurant in the cook prepared bread daily.,in,"9,773.41",5.698,control,0.0397,
Implausible,10,The class in the teacher inspired young minds.,in,"9,773.41",5.698,control,0.0318,
Implausible,11,The station at the officer prepared for work.,at,"3,217.10",5.215,control,0.0301,
Implausible,12,The study in the author wrote a novel.,in,"9,773.41",5.698,control,0.0807,
Implausible,13,The stage on the singer performed a concert.,on,"6,955.73",5.55,control,0.025,
Implausible,14,A hospital in the doctor saved a life.,in,"9,773.41",5.698,control,0.0169,
Implausible,15,The factory in the engineer designed powerful engines.,in,"9,773.41",5.698,control,0.058,
Implausible,16,A beach at the runner helped the child.,at,"3,217.10",5.215,control,0.0569,
Implausible,17,The shop in the worker fixed a car.,in,"9,773.41",5.698,control,0.0287,
Implausible,18,A desert in the professor found an artifact.,in,"9,773.41",5.698,control,0.0223,
Implausible,19,The restaurant in the chef prepared wonderful food.,in,"9,773.41",5.698,control,0.0337,
Implausible,20,A garden by the man collected some flowers.,by,"1,340.47",4.835,control,0.019,
Implausible,21,The hall in the pilot drove the plane.,in,"9,773.41",5.698,control,0.0825,
Implausible,22,The lab in the professor grew rare plants.,in,"9,773.41",5.698,control,0.0287,
Implausible,23,The track on the runner set a record.,on,"6,955.73",5.55,control,0.0134,
Implausible,24,A lab in the student made a discovery.,in,"9,773.41",5.698,control,0.0424,
Implausible,25,The door by the teacher planned a course.,by,"1,340.47",4.835,control,0.0261,
Implausible,26,An class in the assistant taught her students.,in,"9,773.41",5.698,control,0.0294,
Implausible,27,The scene at the captain stopped the fire.,at,"3,217.10",5.215,control,0.0224,
Implausible,28,A library in the poet wrote a manuscript.,in,"9,773.41",5.698,control,0.0436,
Implausible,29,The restaurant in the singer played many songs.,in,"9,773.41",5.698,control,0.0672,
Implausible,30,The garden in the cat watched a mouse.,in,"9,773.41",5.698,control,0.0476,
Implausible,31,A library at the child read a book.,at,"3,217.10",5.215,control,0.0207,
Implausible,32,The studio in the painter made a portrait.,in,"9,773.41",5.698,control,0.0966,
Implausible,33,An lab in the assistant conducted an experiment.,in,"9,773.41",5.698,control,0.0327,
Implausible,34,The hospital at the doctor treated a patient.,at,"3,217.10",5.215,control,0.0389,
Implausible,35,The park in the boy found yellow flowers.,in,"9,773.41",5.698,control,0.046,
Implausible,36,The class in the professor explained a concept.,in,"9,773.41",5.698,control,0.0424,
Implausible,37,The camera with the man observed distant mountains.,with,"5,048.33",5.411,control,0.0242,
Implausible,38,The shop in the worker fixed an engine.,in,"9,773.41",5.698,control,0.0287,
Implausible,39,The museum at the artist presented some pictures.,at,"3,217.10",5.215,control,0.0894,
Implausible,40,An scene at the officer asked various questions.,at,"3,217.10",5.215,control,0.0259,
Implausible,41,The field in the men picked fresh fruit.,in,"9,773.41",5.698,control,0.0186,
Implausible,42,An stage on the actor delivered a speech.,on,"6,955.73",5.55,control,0.0116,
Implausible,43,A conference at the journalist asked many questions.,at,"3,217.10",5.215,control,0.0405,
Implausible,44,The shop in the woman made fresh coffee.,in,"9,773.41",5.698,control,0.0409,
Implausible,45,The river in the bear caught a bass.,in,"9,773.41",5.698,control,0.0308,
Implausible,46,The trail on the group discovered a cave.,on,"6,955.73",5.55,control,0.0357,
Implausible,47,The field on the coach trained a runner.,on,"6,955.73",5.55,control,0.0166,
Implausible,48,The city from the artist attended the ceremony.,from,"2,039.06",5.017,control,0.0569,
Implausible,49,A hospital at the doctor saved a patient.,at,"3,217.10",5.215,control,0.0269,
Implausible,50,The office in the secretary helped a girl.,in,"9,773.41",5.698,control,0.0356,
