dependency,head_number,Plausibility,sentence_pair,Sentence,Word,SUBTLWF,LgSUBTLWF,PMI_crit,Cosine_crit,Attention_Strength,Lure_word,Lure_SUBTLWF,Lure_LgSUBTLWF,PMI_lure,Cosine_lure,Lure_attention_strength,baseline_attn,Baseline attn: from the attn directing lure ('girl') to the baseline word 'the',,,,,Head 6-9,Head 3-11,Head 6-10,H 4-6,H8-11,H5-3,H7-3,,H4-5,H7-10,H3-10,H3-9,H5-7,,,Lure 6-9,L3-11,L6-10,L4-6,L8-11,L5-3,L7-3,,L4-5,L7-10,L3-10,L3-9,L5-7
dobj,7_9,Plausible,item12,The librarian loaned the patron the book.,book,176.98,3.955,-5.125549793,0.09101409,0.2859,patron,3.1,2.201,-8.45026207,0.15842654,0.1026,0.0294,,,,,,0.0284,0.0857,0.1347,0.1939,0.252,0.6174,0.0436,,0.0757,0.0698,0.1207,0.02,0.0194,,,0.6032,0.4287,0.0126,0.0854,0.08,0.236,0.016,,0.0745,0.0331,0.5595,0.4021,0.0099
dobj,7_9,Plausible,item13,The musician played the audience a song.,song,93.69,3.679,-1.055000365,0.20169123,0.3287,audience,25.37,3.112,-2.98735863,0.20153686,0.2104,0.0244,,,,,,0.0278,0.1821,0.7056,0.258,0.1526,0.1486,0.0418,,0.1722,0.0753,0.2896,0.0294,0.4163,,,0.8473,0.6607,0.0068,0.0175,0.0925,0.1688,0.0106,,0.0946,0.1334,0.0311,0.6816,0.0163
dobj,7_9,Plausible,item14,The lady served the customer the coffee.,coffee,144.53,3.868,-1.219949126,0.21032113,0.0221,customer,15.2,2.89,-2.159714103,0.19479218,0.0853,0.0201,,,,,,0.107,0.1121,0.9232,0.184,0.1314,0.2539,0.01,,0.3015,0.0041,0.4769,0.1467,0.2684,,,0.671,0.3646,0.094,0.0206,0.0726,0.2453,0.0146,,0.1474,0.1726,0.0932,0.6573,0.0764
dobj,7_9,Plausible,item15,The trainer taught the athlete an exercise.,exercise,17.73,2.957,-1.821266949,0.20426789,0.1475,athlete,4.61,2.373,-3.311947465,0.23296404,0.0791,0.0193,,,,,,0.034,0.2442,0.2683,0.5869,0.3268,0.152,0.0191,,0.0405,0.1672,0.5272,0.0163,0.0344,,,0.335,0.4108,0.0053,0.0555,0.0188,0.0606,0.0018,,0.0435,0.0457,0.088,0.6717,0.0088
dobj,7_9,Plausible,item16,The artist drew the subject a sketch.,sketch,4.94,2.403,-0.294828832,0.32839507,0.201,subject,36.96,3.276,-2.518607259,0.268782,0.1866,0.0399,,,,,,0.0836,0.1162,0.1501,0.0448,0.0947,0.2392,0.0105,,0.1709,0.0541,0.0952,0.0514,0.0774,,,0.3974,0.5334,0.0316,0.4642,0.0341,0.0754,0.0173,,0.0477,0.3032,0.3096,0.7545,0.0806
dobj,7_9,Plausible,item17,The carpenter built the widow a table.,table,105.63,3.731,-4.376855612,0.099275276,0.1036,widow,12.1,2.791,-3.326023102,0.16946682,0.1142,0.0216,,,,,,0.1239,0.1653,0.6971,0.6055,0.2157,0.1931,0.0631,,0.0704,0.3026,0.5591,0.0459,0.2964,,,0.5438,0.3693,0.0941,0.0275,0.0352,0.2394,0.01,,0.0168,0.1586,0.0212,0.3497,0.0445
dobj,7_9,Plausible,item18,The chef baked the grandmother a cake.,cake,45.06,3.361,7.437645912,0.7011122,0.1262,grandmother,27.78,3.152,-4.374368548,0.23587516,0.0594,0.0158,,,,,,0.038,0.0804,0.3931,0.1028,0.2369,0.313,0.0315,,0.2179,0.2269,0.3081,0.0871,0.5091,,,0.33,0.4378,0.0431,0.0548,0.033,0.0742,0.0019,,0.0163,0.0784,0.0056,0.6714,0.0032
dobj,7_9,Plausible,item19,The officer read the judge the report.,report,108,3.741,-2.050227702,0.18855971,0.1829,judge,79.67,3.609,-3.939606428,0.2041465,0.3545,0.0139,,,,,,0.0492,0.1856,0.3464,0.2381,0.174,0.3114,0.0129,,0.1878,0.0608,0.9291,0.0222,0.0825,,,0.6015,0.5983,0.0885,0.1156,0.0092,0.0992,0.0152,,0.0115,0.4831,0.0058,0.8101,0.0233
dobj,7_9,Plausible,item20,The woman left her sister the keys.,keys,51,3.415,-1.497517377,0.17170458,0.0831,sister,180.53,3.964,-2.796482265,0.20095237,0.2153,0.0161,,,,,,0.0403,0.076,0.2742,0.3208,0.3049,0.2832,0.0194,,0.0125,0.0158,0.1456,0.0219,0.0066,,,0.7493,0.5048,0.0884,0.185,0.0877,0.1274,0.013,,0.0176,0.2092,0.1149,0.6602,0.0026
dobj,7_9,Plausible,item21,The athlete asked her coach a question.,question,198.35,4.005,1.219405651,0.47761157,0.2822,coach,47.63,3.386,-1.558341682,0.1936804,0.1668,0.0363,,,,,,0.0599,0.0794,0.4251,0.185,0.1004,0.607,0.0354,,0.4264,0.0883,0.4182,0.0085,0.7288,,,0.8362,0.5347,0.0118,0.0416,0.0132,0.1496,0.0011,,0.0304,0.0852,0.0213,0.7547,0.0009
dobj,7_9,Plausible,item22,The teacher ordered the student a textbook.,textbook,2.2,2.053,-5.359880209,0.1169191,0.117,student,43.04,3.342,-5.162651539,0.17130847,0.1074,0.0304,,,,,,0.0809,0.2542,0.1593,0.4232,0.2816,0.0517,0.0373,,0.0318,0.0686,0.2969,0.0335,0.0312,,,0.3227,0.4804,0.0169,0.048,0.073,0.0965,0.0285,,0.0066,0.1041,0.0723,0.6989,0.0386
dobj,7_9,Plausible,item23,The artist crafted the bride a necklace.,necklace,9.75,2.697,0.996924013,0.35130832,0.1038,bride,24.22,3.092,-2.529204369,0.24204569,0.1531,0.0214,,,,,,0.0927,0.2388,0.2651,0.4746,0.1936,0.1103,0.0299,,0.2705,0.0737,0.3773,0.0541,0.0757,,,0.3991,0.4012,0.0173,0.2288,0.0523,0.0627,0.0032,,0.0152,0.2337,0.0276,0.6053,0.0358
dobj,7_9,Plausible,item24,The tailor shipped the customer a suit.,suit,68.61,3.544,-4.212168574,0.119225495,0.157,customer,15.2,2.89,0.885582715,0.2897156,0.0232,0.0336,,,,,,0.0522,0.2123,0.2551,0.4439,0.1006,0.1524,0.0074,,0.0822,0.0988,0.139,0.0235,0.1053,,,0.5555,0.456,0.0352,0.04,0.0428,0.3011,0.0091,,0.0204,0.119,0.0089,0.6165,0.0185
dobj,7_9,Plausible,item25,The artist made the patron a sculpture.,sculpture,3.12,2.204,-1.602049112,0.19511887,0.0839,patron,3.1,2.201,-2.711590827,0.13875194,0.0854,0.0132,,,,,,0.0254,0.1261,0.1216,0.4046,0.2752,0.3893,0.0598,,0.0257,0.2082,0.6173,0.1047,0.0354,,,0.4137,0.5977,0.0419,0.0627,0.0275,0.0791,0.0094,,0.0033,0.1726,0.0246,0.6023,0.0022
dobj,7_9,Plausible,item26,The kids poured the customers some juice.,juice,26.88,3.137,2.320960879,0.3821618,0.0621,customers,19.06,2.988,-1.447311699,0.21453771,0.0799,0.0176,,,,,,0.121,0.1192,0.5621,0.1654,0.0913,0.3481,0.0147,,0.3723,0.0583,0.6983,0.1615,0.1552,,,0.5055,0.4665,0.0738,0.0207,0.0798,0.0362,0.0073,,0.0144,0.1251,0.0164,0.5089,0.026
dobj,7_9,Plausible,item27,The nurse administered the patient a vaccine.,vaccine,1.92,1.996,0.695181862,0.25751436,0.0705,patient,63.65,3.511,0.772582483,0.31437263,0.063,0.0308,,,,,,0.0252,0.0765,0.1245,0.0878,0.1225,0.146,0.0106,,0.0838,0.0692,0.6155,0.0303,0.1242,,,0.743,0.5414,0.023,0.0387,0.023,0.0848,0.0031,,0.0216,0.18,0.002,0.513,0.004
dobj,7_9,Plausible,item28,The clerk counted the customer some change.,change,240.35,4.088,-3.417589188,0.28851232,0.2683,customer,15.2,2.89,-2.930192947,0.16867222,0.2201,0.0234,,,,,,0.1012,0.2051,0.3736,0.0829,0.3361,0.3382,0.0306,,0.0822,0.0815,0.4574,0.0253,0.1114,,,0.6716,0.5188,0.0393,0.1283,0.0792,0.2938,0.0414,,0.0387,0.2285,0.0658,0.7298,0.013
dobj,7_9,Plausible,item29,The teacher distributed the students the assignments.,assignments,3.53,2.258,-3.777927637,0.19718131,0.3417,students,30.67,3.195,-1.531471848,0.16530342,0.1152,0.013,,,,,,0.2391,0.1455,0.0981,0.703,0.1344,0.1249,0.0399,,0.0721,0.0769,0.3338,0.0323,0.0127,,,0.6347,0.449,0.0427,0.3773,0.0509,0.1717,0.0041,,0.0253,0.1261,0.0723,0.477,0.0108
dobj,7_9,Plausible,item30,The host offered the guests a drink.,drink,247.39,4.101,-1.863897324,0.18127279,0.0513,guest,39.94,3.309,-0.634240657,0.27680382,0.1604,0.017,,,,,,0.0382,0.2214,0.2568,0.5183,0.2315,0.0957,0.1193,,0.1323,0.1313,0.6071,0.0266,0.349,,,0.3413,0.4011,0.0048,0.0075,0.0642,0.1243,0.015,,0.0053,0.1208,0.0052,0.7953,0.0032
dobj,7_9,Plausible,item31,The neighbor lent his friend a vacuum.,vacuum,5.76,2.47,-5.969734192,0.06923539,0.0963,friend,419.29,4.33,-1.761587501,0.22061375,0.1138,0.0286,,,,,,0.0281,0.1075,0.2878,0.6026,0.3485,0.4078,0.0365,,0.0851,0.2122,0.1621,0.0035,0.2818,,,0.5521,0.5747,0.015,0.0787,0.1233,0.1324,0.0082,,0.0274,0.0419,0.0534,0.8915,0.0278
dobj,7_9,Plausible,item32,The agent sold the couple an estate.,estate,21.1,3.032,2.728018403,0.41377455,0.2352,couple,223.41,4.057,-0.717859522,0.21933693,0.3123,0.0113,,,,,,0.0425,0.3378,0.2164,0.3314,0.1967,0.2496,0.0618,,0.1382,0.0549,0.6386,0.0149,0.0695,,,0.6098,0.4541,0.0118,0.0377,0.0515,0.1103,0.0317,,0.0208,0.2414,0.002,0.6779,0.0062
dobj,7_9,Plausible,item33,The clerk passed the customer a receipt.,receipt,7.43,2.58,-1.927469611,0.2505622,0.1681,customer,15.2,2.89,-3.988669157,0.12240852,0.0453,0.0182,,,,,,0.0715,0.2743,0.2032,0.4123,0.2231,0.1247,0.023,,0.0666,0.0527,0.2516,0.0203,0.0298,,,0.5627,0.432,0.0034,0.0572,0.0602,0.3742,0.0162,,0.0142,0.2057,0.0471,0.8737,0.0441
dobj,7_9,Plausible,item34,The committee granted the student an award.,award,12.88,2.818,-1.536207318,0.24589711,0.0639,student,43.04,3.342,-3.358715296,0.18143669,0.048,0.0089,,,,,,0.0277,0.1315,0.1663,0.6085,0.1852,0.2461,0.1474,,0.1518,0.0657,0.3653,0.0024,0.4539,,,0.2529,0.3177,0.0056,0.0127,0.0298,0.028,0.0066,,0.0047,0.0361,0.0218,0.8101,0.0012
dobj,7_9,Plausible,item35,The parent promised the child a toy.,toy,16.84,2.934,-3.910541773,0.14450218,0.1791,child,157.65,3.905,-1.927890658,0.27533844,0.1049,0.0206,,,,,,0.0552,0.1461,0.0617,0.3526,0.228,0.0322,0.0295,,0.0456,0.0342,0.1049,0.0233,0.0389,,,0.5258,0.4848,0.0286,0.2564,0.0702,0.0701,0.0098,,0.0313,0.054,0.0351,0.6063,0.0123
dobj,7_9,Plausible,item36,The salesman guaranteed the customer a discount.,discount,4.76,2.387,0.696204782,0.32644448,0.0431,customer,15.2,2.89,0.192976475,0.3143221,0.1313,0.0124,,,,,,0.0442,0.1316,0.3016,0.5733,0.2256,0.3557,0.0868,,0.0696,0.0468,0.469,0.0097,0.4178,,,0.2964,0.5163,0.0242,0.0868,0.0513,0.0573,0.0144,,0.0108,0.0595,0.0175,0.6472,0.0062
dobj,7_9,Plausible,item37,The playwright wrote the director a script.,script,19.61,3,2.478390515,0.37793136,0.3244,director,35.96,3.264,-0.423550084,0.2938603,0.1303,0.0197,,,,,,0.0771,0.1706,0.3071,0.2612,0.2054,0.4444,0.0648,,0.1093,0.2281,0.6479,0.0233,0.0975,,,0.6666,0.4415,0.0266,0.1389,0.0321,0.1098,0.0031,,0.0211,0.2886,0.005,0.8401,0.0028
dobj,7_9,Plausible,item38,The tenant paid the landlord the rent.,rent,34.55,3.246,4.144936681,0.49835482,0.0583,landlord,5.33,2.436,0.153964758,0.27277127,0.0529,0.0157,,,,,,0.0363,0.0321,0.883,0.1022,0.0734,0.1972,0.0162,,0.408,0.0594,0.7589,0.0715,0.7152,,,0.4722,0.4493,0.0031,0.0376,0.0157,0.0925,0.001,,0.1161,0.0957,0.0495,0.6766,0.0134
dobj,7_9,Plausible,item39,The company donated the school the computers.,computers,10.8,2.742,-1.643707395,0.17772879,0.2481,school,333.12,4.23,-1.21446602,0.15373154,0.3034,0.0077,,,,,,0.1656,0.2371,0.1874,0.4919,0.0501,0.0832,0.0065,,0.0844,0.2033,0.2749,0.0326,0.0145,,,0.4603,0.4286,0.0154,0.1535,0.0726,0.2568,0.0128,,0.0214,0.0935,0.0467,0.1627,0.0116
dobj,7_9,Plausible,item40,The manager denied the customer the request.,request,25.57,3.116,0.098058224,0.39707536,0.2643,customer,15.2,2.89,-4.064874649,0.21958527,0.116,0.017,,,,,,0.0554,0.2961,0.2784,0.3412,0.2518,0.2745,0.1995,,0.118,0.1135,0.5806,0.0276,0.7592,,,0.5618,0.3864,0.0075,0.108,0.037,0.1567,0.0102,,0.0184,0.1243,0.1106,0.4364,0.0113
dobj,7_9,Plausible,item41,The server handed the customer the coffee.,coffee,144.53,3.868,-5.221402168,0.09830121,0.0532,customer,15.2,2.89,-2.908742309,0.17306414,0.0459,0.0114,,,,,,0.0469,0.3459,0.3605,0.5807,0.1033,0.0348,0.012,,0.1006,0.0619,0.5197,0.0316,0.0796,,,0.3432,0.4008,0.0019,0.0124,0.0671,0.1724,0.0147,,0.0024,0.1643,0.0444,0.709,0.0096
dobj,7_9,Plausible,item42,The doctor suggested the client a diet.,diet,15.37,2.895,-0.992711961,0.20828924,0.062,client,53.24,3.434,-3.564224362,0.17060752,0.252,0.0166,,,,,,0.0896,0.2108,0.0532,0.1464,0.1,0.0275,0.0111,,0.0359,0.0942,0.0759,0.0304,0.0237,,,0.6265,0.4121,0.066,0.0694,0.0348,0.2608,0.0146,,0.0193,0.1192,0.0982,0.4954,0.024
dobj,7_9,Plausible,item43,The ranger tossed the group some snacks.,snacks,3.39,2.24,0.365188435,0.32435638,0.2514,group,73.76,3.575,-6.333028316,0.06468861,0.1695,0.0181,,,,,,0.1391,0.1379,0.1934,0.1257,0.324,0.1007,0.0775,,0.0673,0.1029,0.1609,0.014,0.0441,,,0.7154,0.6355,0.0321,0.054,0.0556,0.1215,0.0397,,0.0086,0.1164,0.0204,0.4258,0.0029
dobj,7_9,Plausible,item44,The winner delivered the audience the speech.,speech,38.04,3.288,3.538706303,0.4886988,0.2691,audience,25.37,3.112,-0.88917695,0.31153157,0.2885,0.041,,,,,,0.1727,0.0768,0.1905,0.1705,0.0343,0.1743,0.0164,,0.1232,0.3072,0.6594,0.0201,0.5767,,,0.737,0.4569,0.0054,0.0218,0.0251,0.1468,0.0164,,0.0564,0.165,0.0475,0.8334,0.018
dobj,7_9,Plausible,item45,The bank transferred the man some money.,money,640.76,4.514,-2.710824251,0.23216155,0.2548,man,1845.75,4.974,-4.057447076,0.13797435,0.3458,0.0095,,,,,,0.1126,0.2315,0.5745,0.2153,0.2498,0.3576,0.0291,,0.1132,0.0206,0.3325,0.0716,0.1412,,,0.5509,0.4405,0.0072,0.3863,0.0822,0.0766,0.0417,,0.0209,0.1375,0.02,0.6617,0.0155
dobj,7_9,Plausible,item46,The farmer fed the cows some grain.,grain,4.76,2.387,0.554962307,0.28485283,0.0441,cows,9.41,2.682,1.199670613,0.28357756,0.0518,0.0452,,,,,,0.0193,0.1057,0.1277,0.407,0.1051,0.4823,0.0034,,0.098,0.0038,0.5364,0.0827,0.1183,,,0.4753,0.3688,0.0129,0.1639,0.0371,0.3573,0.0007,,0.1034,0.2126,0.2897,0.5467,0.0348
dobj,7_9,Plausible,item47,The player threw the audience a ball.,ball,104.96,3.729,5.453100443,0.39869812,0.1356,audience,25.37,3.112,-3.03658402,0.22474296,0.1775,0.0156,,,,,,0.0621,0.2103,0.8768,0.179,0.1463,0.1545,0.0595,,0.1971,0.3306,0.9462,0.1975,0.2643,,,0.7125,0.6327,0.0233,0.0135,0.0508,0.1711,0.0212,,0.0155,0.0901,0.0029,0.5075,0.009
dobj,7_9,Plausible,item48,The father won his son a prize.,prize,22.39,3.058,2.944482803,0.3990231,0.2708,son,410.76,4.321,-5.284999847,0.20581862,0.2984,0.0184,,,,,,0.0346,0.0792,0.1898,0.0687,0.2057,0.2678,0.0818,,0.1702,0.0414,0.8601,0.0308,0.1473,,,0.7273,0.7959,0.1139,0.0775,0.0736,0.0938,0.0119,,0.015,0.2378,0.0008,0.4991,0.0209
dobj,7_9,Plausible,item49,The butcher cut the man some beef.,beef,19.71,3.003,0.656505808,0.3211323,0.1132,man,1845.75,4.974,-2.257849455,0.23100561,0.1027,0.0348,,,,,,0.0484,0.0608,0.1099,0.0339,0.105,0.3337,0.0055,,0.2277,0.0297,0.5239,0.0654,0.165,,,0.5156,0.3528,0.0125,0.06,0.0413,0.1535,0.0102,,0.0349,0.4218,0.0378,0.5779,0.0223
dobj,7_9,Plausible,item50,The girl owed her sister a dollar.,dollar,27.65,3.15,1.024166256,0.37131444,0.2434,sister,180.53,3.964,-3.044277966,0.21482152,0.29,0.0295,,,,,,0.0508,0.0765,0.279,0.182,0.3742,0.38,0.0904,,0.2908,0.0206,0.2932,0.0057,0.198,,,0.7971,0.5466,0.0146,0.0651,0.1344,0.1923,0.0102,,0.0242,0.0388,0.0165,0.6742,0.0044
dobj,7_9,Implausible,item1,The teacher gave the toy a girl.,girl,557.12,4.454,-2.528136611,0.176041,0.0884,toy,16.84,2.934,-1.547005624,0.17559512,0.0484,0.0063,,,,,,0.0286,0.1423,0.1303,0.1066,0.4308,0.4941,0.0873,,0.0341,0.0963,0.0106,0.3255,0.0234,,,0.4079,0.3388,0.0245,0.0601,0.0335,0.0809,0.0028,,0.2161,0.2271,0.731,0.201,0.0491
dobj,7_9,Implausible,item2,The grandmother gifted the bicycle a boy.,boy,529.82,4.432,-0.492547002,0.23425655,0.077,bicycle,6.61,2.529,-5.556447029,0.09359523,0.0456,0.0095,,,,,,0.0128,0.1644,0.1222,0.2671,0.6801,0.2247,0.1556,,0.0268,0.0227,0.0216,0.0384,0.0068,,,0.4858,0.5349,0.0259,0.5032,0.0589,0.1715,0.0106,,0.2069,0.0666,0.5031,0.3245,0.0099
dobj,7_9,Implausible,item3,The guide showed the sculpture a visitor.,visitor,8.75,2.65,-2.722858429,0.13387981,0.1639,sculpture,3.12,2.204,-2.251351357,0.1938589,0.1173,0.0064,,,,,,0.1224,0.113,0.0859,0.0376,0.3801,0.4807,0.1418,,0.02,0.1125,0.013,0.0441,0.005,,,0.5175,0.4752,0.0415,0.1213,0.0243,0.1892,0.0059,,0.1401,0.1472,0.4827,0.5934,0.0674
dobj,7_9,Implausible,item4,The engineer bought the snack a student.,student,43.04,3.342,-3.7579602,0.16701074,0.0385,snack,9.14,2.669,-1.012006819,0.23029125,0.0474,0.0087,,,,,,0.0143,0.1782,0.1536,0.0306,0.2836,0.4358,0.1218,,0.0378,0.0162,0.0372,0.0755,0.0085,,,0.4302,0.48,0.0967,0.3008,0.1117,0.3474,0.014,,0.2854,0.352,0.5114,0.5393,0.7225
dobj,7_9,Implausible,item5,The judge awarded the prize the performer.,performer,2.41,2.093,-1.371787816,0.2560217,0.0231,prize,22.39,3.058,5.327179193,0.5854908,0.172,0.0098,,,,,,0.0355,0.0812,0.02,0.3044,0.0347,0.1307,0.0047,,0.0119,0.0425,0.0039,0.1115,0.0049,,,0.5518,0.1028,0.1106,0.4553,0.0167,0.3192,0.0115,,0.4043,0.2378,0.3631,0.22,0.4312
dobj,7_9,Implausible,item6,The doctor prescribed the medicine the patient.,patient,63.65,3.511,2.167250156,0.41152808,0.2303,medicine,34.2,3.242,0.47692816,0.34137273,0.2099,0.0067,,,,,,0.169,0.1185,0.0073,0.0418,0.261,0.0912,0.0048,,0.0107,0.0194,0.0031,0.0465,0.0015,,,0.6577,0.3935,0.2651,0.4448,0.0715,0.2062,0.0083,,0.1863,0.3113,0.4982,0.362,0.1079
dobj,7_9,Implausible,item7,The chef cooked the steak the family.,family,354.25,4.257,-4.628546953,0.17004853,0.054,steak,16.24,2.919,7.13629508,0.6242747,0.09,0.01,,,,,,0.0302,0.179,0.0377,0.101,0.2071,0.0556,0.003,,0.0654,0.0062,0.0072,0.0698,0.0057,,,0.4027,0.2636,0.0687,0.0765,0.1334,0.3531,0.0039,,0.4234,0.3798,0.3353,0.6628,0.2704
dobj,7_9,Implausible,item8,Her friend told the secret the boss.,boss,124.29,3.802,-0.942449853,0.3373203,0.187,secret,109.51,3.747,0.778091609,0.3393089,0.3449,0.0062,,,,,,0.0815,0.0527,0.5585,0.1881,0.096,0.166,0.0082,,0.0541,0.0278,0.0006,0.1401,0.0052,,,0.5134,0.6123,0.1216,0.2919,0.0692,0.336,0.062,,0.1389,0.6223,0.8931,0.4748,0.3092
dobj,7_9,Implausible,item9,The poet sent the book the refugee.,refugee,1.92,1.996,-0.702451468,0.25804558,0.0225,book,176.98,3.955,-0.931953281,0.18891108,0.2346,0.0075,,,,,,0.065,0.0453,0.5713,0.0968,0.0073,0.1569,0.0073,,0.0892,0.0036,0.4263,0.0492,0.1644,,,0.6461,0.6101,0.1112,0.4361,0.3014,0.1691,0.0499,,0.0597,0.8242,0.3091,0.395,0.1584
dobj,7_9,Implausible,item10,The clerk refused the pizza the man.,man,1845.75,4.974,-1.945094109,0.20571114,0.1051,pizza,33.51,3.233,-4.590270758,0.118378244,0.0788,0.0109,,,,,,0.3044,0.1425,0.0481,0.0214,0.1519,0.0531,0.014,,0.0244,0.0132,0.0039,0.1065,0.0048,,,0.851,0.3577,0.515,0.1729,0.0583,0.0971,0.0208,,0.1869,0.2457,0.6011,0.0956,0.0533
dobj,7_9,Implausible,item11,The teacher assigned the homework the student.,student,43.04,3.342,-0.925543129,0.2735025,0.0692,homework,20.14,3.012,-2.382140577,0.19228318,0.1431,0.0062,,,,,,0.1647,0.0367,0.1849,0.0475,0.0574,0.0993,0.007,,0.0335,0.0665,0.0268,0.1464,0.0027,,,0.8406,0.299,0.29,0.3206,0.0544,0.1439,0.0297,,0.2492,0.2269,0.6806,0.2272,0.0572
