dependency,head_number,Plausibility,sentence_pair,Sentence,Critical_Analysis,SUBTLWF,LgSUBTLWF,PMI_crit,Cosine_crit,Attention_Strength,Lure_Analysis,Lure_SUBTLWF,Lure_LgSUBTLWF,PMI_lure,Cosine_lure,Lure_attention_strength,baseline_attn,Baseline attn: From girl to initial 'the'
dobj,4_11,Plausible,16,The artist drew the subject a sketch.,sketch,4.94,2.403,-0.294828832,0.32839507,0.1799,subject,36.96,3.276,-2.518607259,0.268782,0.3653,0.0026,
dobj,4_11,Plausible,17,The worker built the neighbor a table.,table,105.63,3.731,-4.376855612,0.099275276,0.2497,neighbor,16.94,2.937,-4.12770319,0.15918052,0.1301,0.0036,
dobj,4_11,Plausible,18,The chef prepared the lady a pie.,pie,28.75,3.166,-1.693863809,0.21447499,0.0563,lady,217.08,4.044,-4.987012625,0.09914018,0.0933,0.0011,
dobj,4_11,Plausible,19,The officer read the judge the report.,report,108,3.741,-2.050227702,0.18855971,0.1563,judge,79.67,3.609,-3.939606428,0.2041465,0.1566,0.0014,
dobj,4_11,Plausible,20,The woman left her sister the keys.,keys,51,3.415,-1.497517377,0.17170458,0.3641,sister,180.53,3.964,-2.796482265,0.20095237,0.2153,0.0017,
dobj,4_11,Plausible,21,The player asked her coach a question.,question,198.35,4.005,1.219405651,0.47761157,0.1721,coach,47.63,3.386,-1.558341682,0.1936804,0.0313,0.0005,
dobj,4_11,Plausible,22,The teacher ordered the student a book.,book,176.98,3.955,-1.884449258,0.1967702,0.3232,student,43.04,3.342,-5.162651539,0.17130847,0.1296,0.0007,
dobj,4_11,Plausible,23,The artist designed the woman a dress.,dress,87.2,3.648,0.194697745,0.26397204,0.1108,woman,434.63,4.346,-5.120250463,0.17398815,0.0932,0.0011,
dobj,4_11,Plausible,24,The business sent the customer a suit.,suit,68.61,3.544,-3.716721058,0.15584503,0.2299,customer,15.2,2.89,-1.686612487,0.21207425,0.2266,0.0038,
dobj,4_11,Plausible,25,The artist made the patron a sketch.,sketch,4.94,2.403,-2.90643698,0.15420005,0.187,patron,3.1,2.201,-2.711590827,0.13875194,0.1075,0.0018,
dobj,4_11,Plausible,26,The child gave the customer some tea.,tea,58.63,3.476,-2.816745877,0.117558025,0.4053,customer,15.2,2.89,-3.815664768,0.15191028,0.0799,0.0048,
dobj,4_11,Plausible,27,The doctor gave the patient a shot.,shot,227.43,4.064,-2.934252381,0.270659,0.0908,patient,63.65,3.511,-3.450903535,0.1341156,0.0769,0.003,
dobj,4_11,Plausible,28,The employee counted the customer some change.,change,240.35,4.088,-3.417589188,0.28851232,0.2368,customer,15.2,2.89,-2.930192947,0.16867222,0.1627,0.0019,
dobj,4_11,Plausible,29,The teacher distributed the students the assignment.,assignment,17.88,2.961,-4.818546295,0.16352656,0.3179,students,30.67,3.195,-1.531471848,0.16530342,0.2476,0.0013,
dobj,4_11,Plausible,30,The host offered the guests a drink.,drink,247.39,4.101,-1.863897324,0.18127279,0.2332,guests,25.71,3.118,-0.634240657,0.27680382,0.1576,0.0028,
dobj,4_11,Plausible,31,The neighbor sold his friend an iron.,iron,17.94,2.962,-3.38667953,0.16818917,0.2672,friend,419.29,4.33,-4.24221468,0.13401237,0.2077,0.0026,
dobj,4_11,Plausible,32,The agent sold the couple an estate.,estate,21.1,3.032,2.728018403,0.41377455,0.4191,couple,223.41,4.057,-0.717859522,0.21933693,0.2015,0.0017,
dobj,4_11,Plausible,33,The man passed the customer the bill.,bill,118.45,3.781,3.823641658,0.4398312,0.2605,customer,15.2,2.89,-3.988669157,0.12240852,0.2509,0.0021,
dobj,4_11,Plausible,34,The committee granted the student an award.,award,12.88,2.818,-1.536207318,0.24589711,0.2999,student,43.04,3.342,-3.358715296,0.18143669,0.1079,0.0012,
dobj,4_11,Plausible,35,The parent promised the child a treat.,treat,51.88,3.423,-2.182420731,0.27135116,0.261,child,157.65,3.905,-1.927890658,0.27533844,0.4567,0.0062,
dobj,4_11,Plausible,36,The owner guaranteed the customer a deal.,deal,261.37,4.125,0.960015468,0.3791264,0.2999,customer,15.2,2.89,0.192976475,0.3143221,0.1784,0.0036,
dobj,4_11,Plausible,37,The author wrote the director a script.,script,19.61,3,2.478390515,0.37793136,0.202,director,35.96,3.264,-0.423550084,0.2938603,0.2076,0.0026,
dobj,4_11,Plausible,38,The family paid the manager the rent.,rent,34.55,3.246,4.144936681,0.49835482,0.2643,manager,39.96,3.309,0.318285331,0.276862,0.1117,0.0021,
dobj,4_11,Plausible,39,The company sent the school the computers.,computers,10.8,2.742,-2.350660264,0.15703058,0.1415,school,333.12,4.23,-0.963451155,0.13011019,0.1721,0.0023,
dobj,4_11,Plausible,40,The manager denied the customer the request.,request,25.57,3.116,0.098058224,0.39707536,0.2206,customer,15.2,2.89,-4.064874649,0.21958527,0.2354,0.002,
dobj,4_11,Plausible,41,The server handed the customer the coffee.,coffee,144.53,3.868,-5.221402168,0.09830121,0.2309,customer,15.2,2.89,-2.908742309,0.17306414,0.1186,0.002,
dobj,4_11,Plausible,42,The doctor suggested the client a treatment.,treatment,19.31,2.994,-0.509682789,0.3184056,0.1658,client,53.24,3.434,-3.564224362,0.17060752,0.0443,0.0009,
dobj,4_11,Plausible,43,The guide threw the group some food.,food,154.43,3.896,-1.838901684,0.2162691,0.5236,group,73.76,3.575,-5.608163834,0.11935848,0.1562,0.0037,
dobj,4_11,Plausible,44,The winner delivered the audience the speech.,speech,38.04,3.288,3.538706303,0.4886988,0.2187,audience,25.37,3.112,-0.88917695,0.31153157,0.2355,0.0014,
dobj,4_11,Plausible,45,The bank transferred the man some money.,money,640.76,4.514,-2.710824251,0.23216155,0.5324,man,"1,845.75",4.974,-4.057447076,0.13797435,0.155,0.0014,
dobj,4_11,Plausible,46,The boys fed the cow some grass.,grass,16.78,2.933,2.903179526,0.3012317,0.3332,cow,25.51,3.115,-0.28959614,0.27784213,0.1912,0.0028,
dobj,4_11,Plausible,47,The player threw the audience a ball.,ball,104.96,3.729,5.453100443,0.39869812,0.158,audience,25.37,3.112,-3.03658402,0.22474296,0.214,0.002,
dobj,4_11,Plausible,48,The father won his son a prize.,prize,22.39,3.058,2.944482803,0.3990231,0.2274,son,410.76,4.321,-5.284999847,0.20581862,0.7105,0.0013,
dobj,4_11,Plausible,49,The cook cut the man some meat.,meat,43.65,3.348,1.178703964,0.32934046,0.5931,man,"1,845.75",4.974,-2.257849455,0.23100561,0.2051,0.0042,
dobj,4_11,Plausible,50,The girl bet her sister some money.,money,640.76,4.514,1.512397919,0.37469658,0.9282,sister,180.53,3.964,-3.297916651,0.13236745,0.3045,0.0072,
dobj,4_11,Implausible,1,The teacher gave the book a girl.,girl,557.12,4.454,-2.528136611,0.176041,0.1752,book,176.98,3.955,0.663153648,0.23985314,0.1937,0.0032,
dobj,4_11,Implausible,2,The mother awarded the present a boy.,boy,529.82,4.432,-4.623735666,0.15215588,0.16,present,89.45,3.659,-5.710882187,0.21272539,0.2281,0.0026,
dobj,4_11,Implausible,3,The guide showed the painting a visitor.,visitor,8.75,2.65,-2.722858429,0.13387981,0.0841,painting,29.2,3.173,-1.135827154,0.25423452,0.0991,0.0008,
dobj,4_11,Implausible,4,The engineer bought the dinner some student.,student,43.04,3.342,-3.7579602,0.16701074,0.0785,dinner,202.67,4.014,-2.788367629,0.2700674,0.4877,0.0007,
dobj,4_11,Implausible,5,The judge awarded the prize the singer.,singer,15.69,2.904,-3.630326271,0.12562759,0.0179,prize,22.39,3.058,5.327179193,0.5854908,0.1442,0.0063,
dobj,4_11,Implausible,6,The doctor ordered the medicine the patient.,patient,63.65,3.511,-3.584409118,0.17773394,0.0823,medicine,34.2,3.242,-6.260835886,0.14584678,0.2059,0.0031,
dobj,4_11,Implausible,7,The chef prepared the breakfast the family.,family,354.25,4.257,-2.853640378,0.17026225,0.0485,breakfast,66.29,3.529,0.25861297,0.34242266,0.1058,0.0024,
dobj,4_11,Implausible,8,Her friend told the secret the manager.,manager,39.96,3.309,-0.702573717,0.24534374,0.0049,secret,109.51,3.747,0.778091609,0.3393089,0.3962,0.0139,
dobj,4_11,Implausible,9,The poet sent the book a fan.,fan,35.14,3.254,-2.730605245,0.18889847,0.1582,book,176.98,3.955,-0.931953281,0.18891108,0.1699,0.0046,
dobj,4_11,Implausible,10,The owner refused the suit the man.,man,"1,845.75",4.974,-1.945094109,0.20571114,0.0372,suit,68.61,3.544,-0.912117951,0.29932636,0.3935,0.004,
dobj,4_11,Implausible,11,The teacher assigned the work the student.,student,43.04,3.342,-0.925543129,0.2735025,0.0672,work,798.02,4.61,-0.662227366,0.24365734,0.3401,0.0075,
dobj,4_11,Implausible,12,The owner showed the book the patron.,patron,3.1,2.201,-4.783738852,0.1797629,0.051,book,176.98,3.955,-1.042907387,0.20991582,0.2661,0.0019,
dobj,4_11,Implausible,13,The student played the song an audience.,audience,25.37,3.112,-2.98735863,0.20153686,0.1381,song,93.69,3.679,-1.055000365,0.20169123,0.4753,0.0049,
dobj,4_11,Implausible,14,The lady served the coffee the customer.,customer,15.2,2.89,-2.159714103,0.19479218,0.0704,coffee,144.53,3.868,-1.219949126,0.21032113,0.296,0.0044,
dobj,4_11,Implausible,15,The coach taught the exercise a runner.,runner,4.96,2.405,-7.865533113,0.107186384,0.157,exercise,17.73,2.957,-1.821266949,0.20426789,0.2974,0.0041,
dobj,4_11,Implausible,16,The artist drew the sketch a subject.,subject,36.96,3.276,-2.518607259,0.268782,0.1527,sketch,4.94,2.403,-0.294828832,0.32839507,0.1386,0.0034,
dobj,4_11,Implausible,17,The worker built the table a neighbor.,neighbor,16.94,2.937,-4.12770319,0.15918052,0.1244,table,105.63,3.731,-4.376855612,0.099275276,0.1783,0.0024,
dobj,4_11,Implausible,18,The chef prepared the pie a lady.,lady,217.08,4.044,-4.987012625,0.09914018,0.0833,pie,28.75,3.166,-1.693863809,0.21447499,0.0498,0.0026,
dobj,4_11,Implausible,19,The officer read the report the judge.,judge,79.67,3.609,-3.939606428,0.2041465,0.0624,report,108,3.741,-2.050227702,0.18855971,0.2703,0.003,
dobj,4_11,Implausible,20,The woman left her keys the sister.,sister,180.53,3.964,-2.796482265,0.20095237,0.0485,keys,51,3.415,-1.497517377,0.17170458,0.3116,0.0036,
dobj,4_11,Implausible,21,The player asked her question a coach.,coach,47.63,3.386,-1.558341682,0.1936804,0.0195,question,198.35,4.005,1.219405651,0.47761157,0.0428,0.0034,
dobj,4_11,Implausible,22,The teacher ordered the book a student.,student,43.04,3.342,-5.162651539,0.17130847,0.1307,book,176.98,3.955,-1.884449258,0.1967702,0.3158,0.0058,
dobj,4_11,Implausible,23,The artist designed the dress a woman.,woman,434.63,4.346,-5.120250463,0.17398815,0.0986,dress,87.2,3.648,0.194697745,0.26397204,0.0635,0.0014,
dobj,4_11,Implausible,24,The business sent the suit a customer.,customer,15.2,2.89,-1.686612487,0.21207425,0.2155,suit,68.61,3.544,-3.716721058,0.15584503,0.1861,0.0039,
dobj,4_11,Implausible,25,The artist made the sketch a patron.,patron,3.1,2.201,-2.711590827,0.13875194,0.1047,sketch,4.94,2.403,-2.90643698,0.15420005,0.112,0.0019,
dobj,4_11,Implausible,26,The child gave the tea the customer.,customer,15.2,2.89,-3.815664768,0.15191028,0.0685,tea,58.63,3.476,-2.816745877,0.117558025,0.2432,0.0013,
dobj,4_11,Implausible,27,The doctor gave the shot a patient.,patient,63.65,3.511,-3.450903535,0.1341156,0.1291,shot,227.43,4.064,-2.934252381,0.270659,0.09,0.0039,
dobj,4_11,Implausible,28,The employee counted the change the customer.,customer,15.2,2.89,-2.930192947,0.16867222,0.0497,change,240.35,4.088,-3.417589188,0.28851232,0.2674,0.0048,
dobj,4_11,Implausible,29,The teacher distributed the assignment the students.,students,30.67,3.195,-1.531471848,0.16530342,0.0823,assignment,17.88,2.961,-4.818546295,0.16352656,0.2962,0.0023,
dobj,4_11,Implausible,30,The host offered the drink the guests.,guests,25.71,3.118,-0.634240657,0.27680382,0.094,drink,247.39,4.101,-1.863897324,0.18127279,0.2148,0.0033,
dobj,4_11,Implausible,31,The neighbor sold his iron a friend.,friend,419.29,4.33,-4.24221468,0.13401237,0.3205,iron,17.94,2.962,-3.38667953,0.16818917,0.1438,0.0008,
dobj,4_11,Implausible,32,The agent sold the estate a couple.,couple,223.41,4.057,-0.717859522,0.21933693,0.1645,estate,21.1,3.032,2.728018403,0.41377455,0.3031,0.0027,
dobj,4_11,Implausible,33,The man passed the bill the customer.,customer,15.2,2.89,-3.988669157,0.12240852,0.0804,bill,118.45,3.781,3.823641658,0.4398312,0.2073,0.003,
dobj,4_11,Implausible,34,The committee granted the award a student.,student,43.04,3.342,-3.358715296,0.18143669,0.1205,award,12.88,2.818,-1.536207318,0.24589711,0.2297,0.0087,
dobj,4_11,Implausible,35,The parent promised the treat a child.,child,157.65,3.905,-1.927890658,0.27533844,0.1514,treat,51.88,3.423,-2.182420731,0.27135116,0.1012,0.0011,
dobj,4_11,Implausible,36,The owner guaranteed the deal a customer.,customer,15.2,2.89,0.192976475,0.3143221,0.1639,deal,261.37,4.125,0.960015468,0.3791264,0.2063,0.0045,
dobj,4_11,Implausible,37,The author wrote the script a director.,director,35.96,3.264,-0.423550084,0.2938603,0.1219,script,19.61,3,2.478390515,0.37793136,0.1027,0.0052,
dobj,4_11,Implausible,38,The family paid the rent the manager.,manager,39.96,3.309,0.318285331,0.276862,0.0258,rent,34.55,3.246,4.144936681,0.49835482,0.1885,0.0117,
dobj,4_11,Implausible,39,The company sent the computers the school.,school,333.12,4.23,-0.963451155,0.13011019,0.1229,computers,10.8,2.742,-2.350660264,0.15703058,0.2046,0.0023,
dobj,4_11,Implausible,40,The manager denied the request the customer.,customer,15.2,2.89,-4.064874649,0.21958527,0.0796,request,25.57,3.116,0.098058224,0.39707536,0.1622,0.0066,
dobj,4_11,Implausible,41,The server handed the coffee the customer.,customer,15.2,2.89,-2.908742309,0.17306414,0.0853,coffee,144.53,3.868,-5.221402168,0.09830121,0.1861,0.0014,
dobj,4_11,Implausible,42,The doctor suggested the treatment a client.,client,53.24,3.434,-3.564224362,0.17060752,0.0187,treatment,19.31,2.994,-0.509682789,0.3184056,0.1656,0.0026,
dobj,4_11,Implausible,43,The guide threw the food the group.,group,73.76,3.575,-5.608163834,0.11935848,0.0261,food,154.43,3.896,-1.838901684,0.2162691,0.2872,0.0017,
dobj,4_11,Implausible,44,The winner delivered the speech the audience.,audience,25.37,3.112,-0.88917695,0.31153157,0.0783,speech,38.04,3.288,3.538706303,0.4886988,0.1635,0.0046,
dobj,4_11,Implausible,45,The bank transferred the money the man.,man,"1,845.75",4.974,-4.057447076,0.13797435,0.0327,money,640.76,4.514,-2.710824251,0.23216155,0.5109,0.0096,
dobj,4_11,Implausible,46,The boys fed the grass the cow.,cow,25.51,3.115,-0.28959614,0.27784213,0.08,grass,16.78,2.933,2.903179526,0.3012317,0.2781,0.0023,
dobj,4_11,Implausible,47,The player threw the ball an audience.,audience,25.37,3.112,-3.03658402,0.22474296,0.1031,ball,104.96,3.729,5.453100443,0.39869812,0.1534,0.0098,
dobj,4_11,Implausible,48,The father won his prize a son.,son,410.76,4.321,-5.284999847,0.20581862,0.4929,prize,22.39,3.058,2.944482803,0.3990231,0.1939,0.0081,
dobj,4_11,Implausible,49,The cook cut the meat the man.,man,"1,845.75",4.974,-2.257849455,0.23100561,0.0709,meat,43.65,3.348,1.178703964,0.32934046,0.3818,0.0088,
dobj,4_11,Implausible,50,The girl bet her money the sister.,sister,180.53,3.964,-3.297916651,0.13236745,0.037,money,640.76,4.514,1.512397919,0.37469658,0.7054,0.016,
dobj,3_11,Plausible,1,The teacher gave the girl a book.,book,176.98,3.955,0.663153648,0.23985314,0.0731,girl,557.12,4.454,-2.528136611,0.176041,0.1316,,
dobj,3_11,Plausible,2,The mother awarded the boy a present.,present,89.45,3.659,-5.710882187,0.21272539,0.0879,boy,529.82,4.432,-4.623735666,0.15215588,0.1478,,
dobj,3_11,Plausible,3,The guide showed the visitor a painting.,painting,29.2,3.173,-1.135827154,0.25423452,0.0657,visitor,8.75,2.65,-2.722858429,0.13387981,0.1976,,
dobj,3_11,Plausible,4,The engineer bought the student some dinner.,dinner,202.67,4.014,-2.788367629,0.2700674,0.0374,student,43.04,3.342,-3.7579602,0.16701074,0.1142,,
dobj,3_11,Plausible,5,The judge awarded the singer the prize.,prize,22.39,3.058,5.327179193,0.5854908,0.1337,singer,15.69,2.904,-3.630326271,0.12562759,0.1128,,
dobj,3_11,Plausible,6,The doctor ordered the patient the medicine.,medicine,34.2,3.242,-6.260835886,0.14584678,0.0879,patient,63.65,3.511,-3.584409118,0.17773394,0.1041,,
dobj,3_11,Plausible,7,The chef prepared the family the breakfast.,breakfast,66.29,3.529,0.25861297,0.34242266,0.0934,family,354.25,4.257,-2.853640378,0.17026225,0.2076,,
dobj,3_11,Plausible,8,Her friend told the manager the secret.,secret,109.51,3.747,0.778091609,0.3393089,0.0314,manager,39.96,3.309,-0.702573717,0.24534374,0.2066,,
dobj,3_11,Plausible,9,The poet sent the fan a book.,book,176.98,3.955,-0.931953281,0.18891108,0.0972,fan,35.14,3.254,-2.730605245,0.18889847,0.2661,,
dobj,3_11,Plausible,10,The owner refused the man the suit.,suit,68.61,3.544,-0.912117951,0.29932636,0.1315,man,"1,845.75",4.974,-1.945094109,0.20571114,0.1471,,
dobj,3_11,Plausible,11,The teacher assigned the student some work.,work,798.02,4.61,-0.662227366,0.24365734,0.1778,student,43.04,3.342,-0.925543129,0.2735025,0.2165,,
dobj,3_11,Plausible,12,The owner showed the patron the book.,book,176.98,3.955,-1.042907387,0.20991582,0.0604,patron,3.1,2.201,-4.783738852,0.1797629,0.2318,,
dobj,3_11,Plausible,13,The student played the audience a song.,song,93.69,3.679,-1.055000365,0.20169123,0.0545,audience,25.37,3.112,-2.98735863,0.20153686,0.2132,,
dobj,3_11,Plausible,14,The lady served the customer the coffee.,coffee,144.53,3.868,-1.219949126,0.21032113,0.0598,customer,15.2,2.89,-2.159714103,0.19479218,0.2062,,
dobj,3_11,Plausible,15,The coach taught the runner an exercise.,exercise,17.73,2.957,-1.821266949,0.20426789,0.1253,runner,4.96,2.405,-7.865533113,0.107186384,0.1732,,
dobj,3_11,Plausible,16,The artist drew the subject a sketch.,sketch,4.94,2.403,-0.294828832,0.32839507,0.0777,subject,36.96,3.276,-2.518607259,0.268782,0.1792,,
dobj,3_11,Plausible,17,The worker built the neighbor a table.,table,105.63,3.731,-4.376855612,0.099275276,0.1592,neighbor,16.94,2.937,-4.12770319,0.15918052,0.1185,,
dobj,3_11,Plausible,18,The chef prepared the lady a pie.,pie,28.75,3.166,-1.693863809,0.21447499,0.0641,lady,217.08,4.044,-4.987012625,0.09914018,0.1961,,
dobj,3_11,Plausible,19,The officer read the judge the report.,report,108,3.741,-2.050227702,0.18855971,0.1055,judge,79.67,3.609,-3.939606428,0.2041465,0.1366,,
dobj,3_11,Plausible,20,The woman left her sister the keys.,keys,51,3.415,-1.497517377,0.17170458,0.0702,sister,180.53,3.964,-2.796482265,0.20095237,0.1996,,
dobj,3_11,Plausible,21,The player asked her coach a question.,question,198.35,4.005,1.219405651,0.47761157,0.0155,coach,47.63,3.386,-1.558341682,0.1936804,0.1889,,
dobj,3_11,Plausible,22,The teacher ordered the student a book.,book,176.98,3.955,-1.884449258,0.1967702,0.1668,student,43.04,3.342,-5.162651539,0.17130847,0.1585,,
dobj,3_11,Plausible,23,The artist designed the woman a dress.,dress,87.2,3.648,0.194697745,0.26397204,0.1842,woman,434.63,4.346,-5.120250463,0.17398815,0.1708,,
dobj,3_11,Plausible,24,The business sent the customer a suit.,suit,68.61,3.544,-3.716721058,0.15584503,0.103,customer,15.2,2.89,-1.686612487,0.21207425,0.1663,,
dobj,3_11,Plausible,25,The artist made the patron a sketch.,sketch,4.94,2.403,-2.90643698,0.15420005,0.1669,patron,3.1,2.201,-2.711590827,0.13875194,0.1217,,
dobj,3_11,Plausible,26,The child gave the customer some tea.,tea,58.63,3.476,-2.816745877,0.117558025,0.0676,customer,15.2,2.89,-3.815664768,0.15191028,0.1095,,
dobj,3_11,Plausible,27,The doctor gave the patient a shot.,shot,227.43,4.064,-2.934252381,0.270659,0.0349,patient,63.65,3.511,-3.450903535,0.1341156,0.1141,,
dobj,3_11,Plausible,28,The employee counted the customer some change.,change,240.35,4.088,-3.417589188,0.28851232,0.1012,customer,15.2,2.89,-2.930192947,0.16867222,0.1442,,
dobj,3_11,Plausible,29,The teacher distributed the students the assignment.,assignment,17.88,2.961,-4.818546295,0.16352656,0.1061,students,30.67,3.195,-1.531471848,0.16530342,0.185,,
dobj,3_11,Plausible,30,The host offered the guests a drink.,drink,247.39,4.101,-1.863897324,0.18127279,0.1084,guests,25.71,3.118,-0.634240657,0.27680382,0.1858,,
dobj,3_11,Plausible,31,The neighbor sold his friend an iron.,iron,17.94,2.962,-3.38667953,0.16818917,0.0662,friend,419.29,4.33,-4.24221468,0.13401237,0.2535,,
dobj,3_11,Plausible,32,The agent sold the couple an estate.,estate,21.1,3.032,2.728018403,0.41377455,0.1289,couple,223.41,4.057,-0.717859522,0.21933693,0.1412,,
dobj,3_11,Plausible,33,The man passed the customer the bill.,bill,118.45,3.781,3.823641658,0.4398312,0.156,customer,15.2,2.89,-3.988669157,0.12240852,0.2301,,
dobj,3_11,Plausible,34,The committee granted the student an award.,award,12.88,2.818,-1.536207318,0.24589711,0.0736,student,43.04,3.342,-3.358715296,0.18143669,0.1766,,
dobj,3_11,Plausible,35,The parent promised the child a treat.,treat,51.88,3.423,-2.182420731,0.27135116,0.1076,child,157.65,3.905,-1.927890658,0.27533844,0.2645,,
dobj,3_11,Plausible,36,The owner guaranteed the customer a deal.,deal,261.37,4.125,0.960015468,0.3791264,0.1059,customer,15.2,2.89,0.192976475,0.3143221,0.1949,,
dobj,3_11,Plausible,37,The author wrote the director a script.,script,19.61,3,2.478390515,0.37793136,0.2187,director,35.96,3.264,-0.423550084,0.2938603,0.3097,,
dobj,3_11,Plausible,38,The family paid the manager the rent.,rent,34.55,3.246,4.144936681,0.49835482,0.1093,manager,39.96,3.309,0.318285331,0.276862,0.2678,,
dobj,3_11,Plausible,39,The company sent the school the computers.,computers,10.8,2.742,-2.350660264,0.15703058,0.0879,school,333.12,4.23,-0.963451155,0.13011019,0.1422,,
dobj,3_11,Plausible,40,The manager denied the customer the request.,request,25.57,3.116,0.098058224,0.39707536,0.1126,customer,15.2,2.89,-4.064874649,0.21958527,0.1931,,
dobj,3_11,Plausible,41,The server handed the customer the coffee.,coffee,144.53,3.868,-5.221402168,0.09830121,0.0926,customer,15.2,2.89,-2.908742309,0.17306414,0.2593,,
dobj,3_11,Plausible,42,The doctor suggested the client a treatment.,treatment,19.31,2.994,-0.509682789,0.3184056,0.0953,client,53.24,3.434,-3.564224362,0.17060752,0.1254,,
dobj,3_11,Plausible,43,The guide threw the group some food.,food,154.43,3.896,-1.838901684,0.2162691,0.111,group,73.76,3.575,-5.608163834,0.11935848,0.1352,,
dobj,3_11,Plausible,44,The winner delivered the audience the speech.,speech,38.04,3.288,3.538706303,0.4886988,0.0816,audience,25.37,3.112,-0.88917695,0.31153157,0.1593,,
dobj,3_11,Plausible,45,The bank transferred the man some money.,money,640.76,4.514,-2.710824251,0.23216155,0.0433,man,"1,845.75",4.974,-4.057447076,0.13797435,0.1578,,
dobj,3_11,Plausible,46,The boys fed the cow some grass.,grass,16.78,2.933,2.903179526,0.3012317,0.0712,cow,25.51,3.115,-0.28959614,0.27784213,0.2176,,
dobj,3_11,Plausible,47,The player threw the audience a ball.,ball,104.96,3.729,5.453100443,0.39869812,0.0601,audience,25.37,3.112,-3.03658402,0.22474296,0.1186,,
dobj,3_11,Plausible,48,The father won his son a prize.,prize,22.39,3.058,2.944482803,0.3990231,0.1164,son,410.76,4.321,-5.284999847,0.20581862,0.1436,,
dobj,3_11,Plausible,49,The cook cut the man some meat.,meat,43.65,3.348,1.178703964,0.32934046,0.0983,man,"1,845.75",4.974,-2.257849455,0.23100561,0.0969,,
dobj,3_11,Plausible,50,The girl bet her sister some money.,money,640.76,4.514,1.512397919,0.37469658,0.1262,sister,180.53,3.964,-3.297916651,0.13236745,0.26,,
dobj,3_11,Implausible,1,The teacher gave the book a girl.,girl,557.12,4.454,-2.528136611,0.176041,0.0677,book,176.98,3.955,0.663153648,0.23985314,0.1588,,
dobj,3_11,Implausible,2,The mother awarded the present a boy.,boy,529.82,4.432,-4.623735666,0.15215588,0.0774,present,89.45,3.659,-5.710882187,0.21272539,0.2163,,
dobj,3_11,Implausible,3,The guide showed the painting a visitor.,visitor,8.75,2.65,-2.722858429,0.13387981,0.0715,painting,29.2,3.173,-1.135827154,0.25423452,0.1512,,
