comparison_num,dependency,head_number,Plausibility,sentence_pair,Sentence,Critical_Analysis,SUBTLWF,LgSUBTLWF,PMI_crit,Cosine_crit,Attention_Strength,Lure_Analysis,Lure_SUBTLWF,Lure_LgSUBTLWF,PMI_lure,Cosine_lure,Lure_attention_strength,baseline_attn,Baseline attn is from the lure word 'girl' to 'the' (first instance)
1,dobj,2_8,Plausible,13,The musician played the audience a song.,song,93.69,3.679,-1.055000365,0.20169123,0.324,audience,25.37,3.112,-2.98735863,0.20153686,0.6014,0.218,
1,dobj,2_8,Plausible,14,The lady served the customer the coffee.,coffee,144.53,3.868,-1.219949126,0.21032113,0.4122,customer,15.2,2.89,-2.159714103,0.19479218,0.6833,0.1543,
1,dobj,2_8,Plausible,15,The trainer taught the athlete an exercise.,exercise,17.73,2.957,-1.821266949,0.20426789,0.3614,athlete,4.61,2.373,-3.311947465,0.23296404,0.5768,0.1683,
1,dobj,2_8,Plausible,16,The artist drew the subject a sketch.,sketch,4.94,2.403,-0.294828832,0.32839507,0.3474,subject,36.96,3.276,-2.518607259,0.268782,0.4936,0.3092,
1,dobj,2_8,Plausible,17,The worker built the widow a table.,table,105.63,3.731,-4.376855612,0.099275276,0.636,widow,12.1,2.791,-3.326023102,0.16946682,0.5143,0.2148,
1,dobj,2_8,Plausible,18,The chef baked the grandmother a cake.,cake,45.06,3.361,7.437645912,0.7011122,0.2967,grandmother,27.78,3.152,-4.374368548,0.23587516,0.1805,0.4201,
1,dobj,2_8,Plausible,19,The officer read the judge the report.,report,108,3.741,-2.050227702,0.18855971,0.6068,judge,79.67,3.609,-3.939606428,0.2041465,0.5153,0.2568,
1,dobj,2_8,Plausible,20,The woman left her sister the keys.,keys,51,3.415,-1.497517377,0.17170458,0.1488,sister,180.53,3.964,-2.796482265,0.20095237,0.4794,0.2861,
1,dobj,2_8,Plausible,21,The athlete asked her coach a question.,question,198.35,4.005,1.219405651,0.47761157,0.9039,coach,47.63,3.386,-1.558341682,0.1936804,0.5344,0.2856,
1,dobj,2_8,Plausible,22,The teacher ordered the student a textbook.,textbook,2.2,2.053,-5.359880209,0.1169191,0.374,student,43.04,3.342,-5.162651539,0.17130847,0.43,0.2604,
1,dobj,2_8,Plausible,23,The artist crafted the bride a necklace.,necklace,9.75,2.697,0.996924013,0.35130832,0.4638,bride,24.22,3.092,-2.529204369,0.24204569,0.562,0.2305,
1,dobj,2_8,Plausible,24,The tailor shipped the customer a suit.,suit,68.61,3.544,-4.212168574,0.119225495,0.2556,customer,15.2,2.89,0.885582715,0.2897156,0.3541,0.3029,
1,dobj,2_8,Plausible,25,The artist made the patron a sculpture.,sculpture,3.12,2.204,-1.602049112,0.19511887,0.3265,patron,3.1,2.201,-2.711590827,0.13875194,0.3138,0.3929,
1,dobj,2_8,Plausible,26,The kids poured the customers some juice.,juice,26.88,3.137,2.320960879,0.3821618,0.3834,customers,19.06,2.988,-1.447311699,0.21453771,0.4118,0.2509,
1,dobj,2_8,Plausible,27,The nurse administered the patient a vaccine.,vaccine,1.92,1.996,0.695181862,0.25751436,0.4046,patient,63.65,3.511,0.772582483,0.31437263,0.3141,0.4264,
1,dobj,2_8,Plausible,28,The clerk counted the customer some change.,change,240.35,4.088,-3.417589188,0.28851232,0.3771,customer,15.2,2.89,-2.930192947,0.16867222,0.4478,0.2584,
1,dobj,2_8,Plausible,29,The teacher distributed the students the assignments.,assignments,3.53,2.258,-3.777927637,0.19718131,0.2768,students,30.67,3.195,-1.531471848,0.16530342,0.5222,0.1891,
1,dobj,2_8,Plausible,30,The host offered the guests a drink.,drink,247.39,4.101,-1.863897324,0.18127279,0.5357,guests,39.94,3.309,-0.634240657,0.27680382,0.7025,0.1376,
1,dobj,2_8,Plausible,31,The neighbor lent his friend a vacuum.,vacuum,5.76,2.47,-5.969734192,0.06923539,0.4006,friend,419.29,4.33,-1.761587501,0.22061375,0.5055,0.3132,
1,dobj,2_8,Plausible,32,The agent sold the couple an estate.,estate,21.1,3.032,2.728018403,0.41377455,0.4125,couple,223.41,4.057,-0.717859522,0.21933693,0.6497,0.2021,
1,dobj,2_8,Plausible,33,The clerk passed the customer a receipt.,receipt,7.43,2.58,-1.927469611,0.2505622,0.2499,customer,15.2,2.89,-3.988669157,0.12240852,0.5392,0.2002,
1,dobj,2_8,Plausible,34,The committee granted the student an award.,award,12.88,2.818,-1.536207318,0.24589711,0.5066,student,43.04,3.342,-3.358715296,0.18143669,0.5026,0.2411,
1,dobj,2_8,Plausible,35,The parent promised the child a toy.,toy,16.84,2.934,-3.910541773,0.14450218,0.261,child,157.65,3.905,-1.927890658,0.27533844,0.4699,0.2098,
1,dobj,2_8,Plausible,36,The salesman guaranteed the customer a discount.,discount,4.76,2.387,0.696204782,0.32644448,0.3988,customer,15.2,2.89,0.192976475,0.3143221,0.5523,0.2227,
1,dobj,2_8,Plausible,37,The author wrote the director a script.,script,19.61,3,2.478390515,0.37793136,0.4917,director,35.96,3.264,-0.423550084,0.2938603,0.4073,0.3387,
1,dobj,2_8,Plausible,38,The tenant paid the landlord the rent.,rent,34.55,3.246,4.144936681,0.49835482,0.4918,landlord,5.33,2.436,0.153964758,0.27277127,0.3548,0.3475,
1,dobj,2_8,Plausible,39,The company donated the school the computers.,computers,10.8,2.742,-1.643707395,0.17772879,0.3733,school,333.12,4.23,-1.21446602,0.15373154,0.5921,0.179,
1,dobj,2_8,Plausible,40,The manager denied the customer the request.,request,25.57,3.116,0.098058224,0.39707536,0.5805,customer,15.2,2.89,-4.064874649,0.21958527,0.5247,0.2228,
1,dobj,2_8,Plausible,41,The server handed the customer the coffee.,coffee,144.53,3.868,-5.221402168,0.09830121,0.2335,customer,15.2,2.89,-2.908742309,0.17306414,0.6385,0.161,
1,dobj,2_8,Plausible,42,The doctor suggested the client a diet.,diet,15.37,2.895,-0.992711961,0.20828924,0.2561,client,53.24,3.434,-3.564224362,0.17060752,0.4395,0.2564,
1,dobj,2_8,Plausible,43,The ranger tossed the group some snacks.,snacks,3.39,2.24,0.365188435,0.32435638,0.3307,group,73.76,3.575,-6.333028316,0.06468861,0.6062,0.2081,
1,dobj,2_8,Plausible,44,The winner delivered the audience the speech.,speech,38.04,3.288,3.538706303,0.4886988,0.5453,audience,25.37,3.112,-0.88917695,0.31153157,0.7669,0.12,
1,dobj,2_8,Plausible,45,The bank transferred the man some money.,money,640.76,4.514,-2.710824251,0.23216155,0.6454,man,"1,845.75",4.974,-4.057447076,0.13797435,0.4624,0.3145,
1,dobj,2_8,Plausible,46,The farmer fed the cows some grain.,grain,4.76,2.387,0.554962307,0.28485283,0.1952,cows,9.41,2.682,1.199670613,0.28357756,0.464,0.2008,
1,dobj,2_8,Plausible,47,The player threw the audience a ball.,ball,104.96,3.729,5.453100443,0.39869812,0.6329,audience,25.37,3.112,-3.03658402,0.22474296,0.6807,0.1786,
1,dobj,2_8,Plausible,48,The father won his son a prize.,prize,22.39,3.058,2.944482803,0.3990231,0.8806,son,410.76,4.321,-5.284999847,0.20581862,0.4786,0.194,
1,dobj,2_8,Plausible,49,The butcher cut the man some beef.,beef,19.71,3.003,0.656505808,0.3211323,0.2917,man,"1,845.75",4.974,-2.257849455,0.23100561,0.2274,0.3934,
1,dobj,2_8,Plausible,50,The girl owed her sister a dollar.,dollar,27.65,3.15,1.024166256,0.37131444,0.7148,sister,180.53,3.964,-3.044277966,0.21482152,0.6992,0.1699,
1,dobj,2_8,Implausible,1,The teacher gave the toy a girl.,girl,557.12,4.454,-2.528136611,0.176041,0.4911,toy,16.84,2.934,-1.547005624,0.17559512,0.6386,0.1905,
1,dobj,2_8,Implausible,2,The grandmother gifted the bicycle a boy.,boy,529.82,4.432,-0.492547002,0.23425655,0.3098,bicycle,6.61,2.529,-5.556447029,0.09359523,0.5223,0.1969,
1,dobj,2_8,Implausible,3,The guide showed the sculpture a visitor.,visitor,8.75,2.65,-2.722858429,0.13387981,0.219,sculpture,3.12,2.204,-2.251351357,0.1938589,0.3011,0.3742,
1,dobj,2_8,Implausible,4,The engineer bought the snack a student.,student,43.04,3.342,-3.7579602,0.16701074,0.2596,snack,9.14,2.669,-1.012006819,0.23029125,0.5052,0.2495,
1,dobj,2_8,Implausible,5,The judge awarded the prize the performer.,performer,2.41,2.093,-1.371787816,0.2560217,0.2309,prize,22.39,3.058,5.327179193,0.5854908,0.7011,0.1858,
1,dobj,2_8,Implausible,6,The doctor prescribed the medicine the patient.,patient,63.65,3.511,2.167250156,0.41152808,0.2322,medicine,34.2,3.242,0.47692816,0.34137273,0.6447,0.1713,
1,dobj,2_8,Implausible,7,The chef cooked the steak the family.,family,354.25,4.257,-4.628546953,0.17004853,0.2114,steak,16.24,2.919,7.13629508,0.6242747,0.5561,0.1652,
1,dobj,2_8,Implausible,8,Her friend told the secret the boss.,boss,124.29,3.802,-0.942449853,0.3373203,0.3179,secret,109.51,3.747,0.778091609,0.3393089,0.6916,0.2083,
1,dobj,2_8,Implausible,9,The poet sent the book the refugee.,refugee,1.92,1.996,-0.702451468,0.25804558,0.1843,book,176.98,3.955,-0.931953281,0.18891108,0.6883,0.1087,
1,dobj,2_8,Implausible,10,The clerk refused the pizza the man.,man,"1,845.75",4.974,-1.945094109,0.20571114,0.3119,pizza,33.51,3.233,-4.590270758,0.118378244,0.4383,0.2594,
1,dobj,2_8,Implausible,11,The teacher assigned the homework the student.,student,43.04,3.342,-0.925543129,0.2735025,0.3169,homework,20.14,3.012,-2.382140577,0.19228318,0.4804,0.2499,
1,dobj,2_8,Implausible,12,The owner lent the book the patron.,patron,3.1,2.201,-2.138218999,0.26944673,0.2078,book,176.98,3.955,-0.416392386,0.22165555,0.5403,0.1044,
1,dobj,2_8,Implausible,13,The musician played the song an audience.,audience,25.37,3.112,-2.98735863,0.20153686,0.3525,song,93.69,3.679,-1.055000365,0.20169123,0.552,0.223,
1,dobj,2_8,Implausible,14,The lady served the coffee the customer.,customer,15.2,2.89,-2.159714103,0.19479218,0.5227,coffee,144.53,3.868,-1.219949126,0.21032113,0.6439,0.1636,
1,dobj,2_8,Implausible,15,The trainer taught the exercise an athlete.,athlete,4.61,2.373,-3.311947465,0.23296404,0.3363,exercise,17.73,2.957,-1.821266949,0.20426789,0.5921,0.1769,
1,dobj,2_8,Implausible,16,The artist drew the sketch a subject.,subject,36.96,3.276,-2.518607259,0.268782,0.2579,sketch,4.94,2.403,-0.294828832,0.32839507,0.5025,0.2181,
1,dobj,2_8,Implausible,17,The worker built the table a widow.,widow,12.1,2.791,-3.326023102,0.16946682,0.282,table,105.63,3.731,-4.376855612,0.099275276,0.7627,0.1212,
1,dobj,2_8,Implausible,18,The chef baked the cake a grandmother.,grandmother,27.78,3.152,-4.374368548,0.23587516,0.0931,cake,45.06,3.361,7.437645912,0.7011122,0.4225,0.1766,
1,dobj,2_8,Implausible,19,The officer read the report the judge.,judge,79.67,3.609,-3.939606428,0.2041465,0.2484,report,108,3.741,-2.050227702,0.18855971,0.8329,0.0973,
1,dobj,2_8,Implausible,20,The woman left the keys her sister.,sister,180.53,3.964,-2.796482265,0.20095237,0.1107,keys,51,3.415,-1.497517377,0.17170458,0.271,0.3799,
1,dobj,2_8,Implausible,21,The athlete asked her question a coach.,coach,47.63,3.386,-1.558341682,0.1936804,0.2661,question,198.35,4.005,1.219405651,0.47761157,0.9096,0.0601,
1,dobj,2_8,Implausible,22,The teacher ordered the textbook a student.,student,43.04,3.342,-5.162651539,0.17130847,0.2308,textbook,2.2,2.053,-5.359880209,0.1169191,0.5567,0.2003,
1,dobj,2_8,Implausible,23,The artist crafted the necklace a bride.,bride,24.22,3.092,-2.529204369,0.24204569,0.2914,necklace,9.75,2.697,0.996924013,0.35130832,0.6574,0.1393,
1,dobj,2_8,Implausible,24,The tailor shipped the suit a customer.,customer,15.2,2.89,0.885582715,0.2897156,0.1653,suit,68.61,3.544,-4.212168574,0.119225495,0.4342,0.2447,
1,dobj,2_8,Implausible,25,The artist made the sculpture a patron.,patron,3.1,2.201,-2.711590827,0.13875194,0.2688,sculpture,3.12,2.204,-1.602049112,0.19511887,0.4612,0.2576,
1,dobj,2_8,Implausible,26,The kids poured the juice some customers.,customers,19.06,2.988,-1.447311699,0.21453771,0.2159,juice,26.88,3.137,2.320960879,0.3821618,0.6312,0.2303,
1,dobj,2_8,Implausible,27,The nurse administered the vaccine a patient.,patient,63.65,3.511,0.772582483,0.31437263,0.1634,vaccine,1.92,1.996,0.695181862,0.25751436,0.5837,0.2054,
1,dobj,2_8,Implausible,28,The clerk counted the change the customer.,customer,15.2,2.89,-2.930192947,0.16867222,0.1329,change,240.35,4.088,-3.417589188,0.28851232,0.5168,0.2151,
1,dobj,2_8,Implausible,29,The teacher distributed the assignments the students.,students,30.67,3.195,-1.531471848,0.16530342,0.1846,assignments,3.53,2.258,-3.777927637,0.19718131,0.4654,0.2467,
1,dobj,2_8,Implausible,30,The host offered the drinks the guest.,guest,39.94,3.309,-1.715102404,0.29163226,0.3515,drinks,247.39,4.101,-2.148403704,0.20823543,0.6592,0.1511,
1,dobj,2_8,Implausible,31,The neighbor lent his vacuum a friend.,friend,419.29,4.33,-1.761587501,0.22061375,0.3451,vacuum,5.76,2.47,-5.969734192,0.06923539,0.4971,0.2416,
1,dobj,2_8,Implausible,32,The agent sold the estate a couple.,couple,223.41,4.057,-0.717859522,0.21933693,0.4883,estate,21.1,3.032,2.728018403,0.41377455,0.57,0.2138,
1,dobj,2_8,Implausible,33,The clerk passed the receipt a customer.,customer,15.2,2.89,-3.988669157,0.12240852,0.2073,receipt,7.43,2.58,-1.927469611,0.2505622,0.3778,0.3023,
1,dobj,2_8,Implausible,34,The committee granted the award a student.,student,43.04,3.342,-3.358715296,0.18143669,0.2629,award,12.88,2.818,-1.536207318,0.24589711,0.6148,0.2528,
1,dobj,2_8,Implausible,35,The parent promised the toy a child.,child,157.65,3.905,-1.927890658,0.27533844,0.2535,toy,16.84,2.934,-3.910541773,0.14450218,0.3854,0.3487,
1,dobj,2_8,Implausible,36,The salesman guaranteed the discount a customer.,customer,15.2,2.89,0.192976475,0.3143221,0.3332,discount,4.76,2.387,0.696204782,0.32644448,0.5388,0.193,
1,dobj,2_8,Implausible,37,The author wrote the script a director.,director,35.96,3.264,-0.423550084,0.2938603,0.2177,script,19.61,3,2.478390515,0.37793136,0.7321,0.0942,
1,dobj,2_8,Implausible,38,The tenant paid the rent the landlord.,landlord,5.33,2.436,0.153964758,0.27277127,0.1647,rent,34.55,3.246,4.144936681,0.49835482,0.691,0.1768,
1,dobj,2_8,Implausible,39,The company donated the computers the school.,school,333.12,4.23,-1.21446602,0.15373154,0.362,computers,10.8,2.742,-1.643707395,0.17772879,0.5389,0.1969,
1,dobj,2_8,Implausible,40,The manager denied the request the customer.,customer,15.2,2.89,-4.064874649,0.21958527,0.1647,request,25.57,3.116,0.098058224,0.39707536,0.7496,0.138,
1,dobj,2_8,Implausible,41,The server handed the coffee the customer.,customer,15.2,2.89,-2.908742309,0.17306414,0.4087,coffee,144.53,3.868,-5.221402168,0.09830121,0.4109,0.2057,
1,dobj,2_8,Implausible,42,The doctor suggested the diet a client.,client,53.24,3.434,-3.564224362,0.17060752,0.238,diet,15.37,2.895,-0.992711961,0.20828924,0.3774,0.2976,
1,dobj,2_8,Implausible,43,The ranger tossed the snacks a group.,group,73.76,3.575,-6.333028316,0.06468861,0.3576,snacks,3.39,2.24,0.365188435,0.32435638,0.4689,0.2661,
1,dobj,2_8,Implausible,44,The winner delivered the speech the audience.,audience,25.37,3.112,-0.88917695,0.31153157,0.529,speech,38.04,3.288,3.538706303,0.4886988,0.6945,0.1055,
1,dobj,2_8,Implausible,45,The bank transferred some money a man.,man,"1,845.75",4.974,-4.057447076,0.13797435,0.2285,money,640.76,4.514,-2.710824251,0.23216155,0.7802,0.123,
1,dobj,2_8,Implausible,46,The farmer fed the grain some cows.,cows,9.41,2.682,1.199670613,0.28357756,0.1755,grain,4.76,2.387,0.554962307,0.28485283,0.4097,0.2473,
1,dobj,2_8,Implausible,47,The player threw the ball an audience.,audience,25.37,3.112,-3.03658402,0.22474296,0.4873,ball,104.96,3.729,5.453100443,0.39869812,0.801,0.0974,
1,dobj,2_8,Implausible,48,The father won his prize a son.,son,410.76,4.321,-5.284999847,0.20581862,0.1331,prize,22.39,3.058,2.944482803,0.3990231,0.9318,0.0381,
1,dobj,2_8,Implausible,49,The butcher cut the beef some man.,man,"1,845.75",4.974,-2.257849455,0.23100561,0.067,beef,19.71,3.003,0.656505808,0.3211323,0.4865,0.1731,
1,dobj,2_8,Implausible,50,The girl owed her dollar a sister.,sister,180.53,3.964,-3.044277966,0.21482152,0.5082,dollar,27.65,3.15,1.024166256,0.37131444,0.739,0.1217,
2,dobj,4_0,Plausible,1,The teacher gave the girl a toy.,toy,16.84,2.934,-1.547005624,0.17559512,0.1456,girl,557.12,4.454,-2.528136611,0.176041,0.568,,
2,dobj,4_0,Plausible,2,The grandmother gifted the boy a bicycle.,bicycle,6.61,2.529,-5.556447029,0.09359523,0.7204,boy,529.82,4.432,-0.492547002,0.23425655,0.9231,,
2,dobj,4_0,Plausible,3,The guide showed the visitor a sculpture.,sculpture,3.12,2.204,-2.251351357,0.1938589,0.445,visitor,8.75,2.65,-2.722858429,0.13387981,0.5968,,
2,dobj,4_0,Plausible,4,The engineer bought the student a snack.,snack,9.14,2.669,-1.012006819,0.23029125,0.265,student,43.04,3.342,-3.7579602,0.16701074,0.646,,
2,dobj,4_0,Plausible,5,The judge awarded the performer the prize.,prize,22.39,3.058,5.327179193,0.5854908,0.4082,performer,2.41,2.093,-1.371787816,0.2560217,0.4003,,
2,dobj,4_0,Plausible,6,The doctor prescribed the patient the medicine.,medicine,34.2,3.242,0.47692816,0.34137273,0.8359,patient,63.65,3.511,2.167250156,0.41152808,0.6989,,
2,dobj,4_0,Plausible,7,The chef cooked the family the steak.,steak,16.24,2.919,7.13629508,0.6242747,0.6615,family,354.25,4.257,-4.628546953,0.17004853,0.9046,,
2,dobj,4_0,Plausible,8,Her friend told the boss the secret.,secret,109.51,3.747,0.778091609,0.3393089,0.325,boss,124.29,3.802,-0.942449853,0.3373203,0.5239,,
2,dobj,4_0,Plausible,9,The poet sent the refugee a book.,book,176.98,3.955,-0.931953281,0.18891108,0.7452,refugee,1.92,1.996,-0.702451468,0.25804558,0.7527,,
2,dobj,4_0,Plausible,10,The clerk refused the man the pizza.,pizza,33.51,3.233,-4.590270758,0.118378244,0.1475,man,"1,845.75",4.974,-1.945094109,0.20571114,0.8153,,
2,dobj,4_0,Plausible,11,The teacher assigned the student some homework.,homework,20.14,3.012,-2.382140577,0.19228318,0.6382,student,43.04,3.342,-0.925543129,0.2735025,0.7675,,
2,dobj,4_0,Plausible,12,The owner lent the patron the book.,book,176.98,3.955,-0.416392386,0.22165555,0.6365,patron,3.1,2.201,-2.138218999,0.26944673,0.8003,,
2,dobj,4_0,Plausible,13,The musician played the audience a song.,song,93.69,3.679,-1.055000365,0.20169123,0.7648,audience,25.37,3.112,-2.98735863,0.20153686,0.8923,,
2,dobj,4_0,Plausible,14,The lady served the customer the coffee.,coffee,144.53,3.868,-1.219949126,0.21032113,0.8269,customer,15.2,2.89,-2.159714103,0.19479218,0.9157,,
2,dobj,4_0,Plausible,15,The trainer taught the athlete an exercise.,exercise,17.73,2.957,-1.821266949,0.20426789,0.5825,athlete,4.61,2.373,-3.311947465,0.23296404,0.5778,,
2,dobj,4_0,Plausible,16,The artist drew the subject a sketch.,sketch,4.94,2.403,-0.294828832,0.32839507,0.2161,subject,36.96,3.276,-2.518607259,0.268782,0.7123,,
2,dobj,4_0,Plausible,17,The worker built the widow a table.,table,105.63,3.731,-4.376855612,0.099275276,0.7272,widow,12.1,2.791,-3.326023102,0.16946682,0.6854,,
2,dobj,4_0,Plausible,18,The chef baked the grandmother a cake.,cake,45.06,3.361,7.437645912,0.7011122,0.5445,grandmother,27.78,3.152,-4.374368548,0.23587516,0.8622,,
2,dobj,4_0,Plausible,19,The officer read the judge the report.,report,108,3.741,-2.050227702,0.18855971,0.6176,judge,79.67,3.609,-3.939606428,0.2041465,0.6923,,
2,dobj,4_0,Plausible,20,The woman left her sister the keys.,keys,51,3.415,-1.497517377,0.17170458,0.4893,sister,180.53,3.964,-2.796482265,0.20095237,0.6427,,
2,dobj,4_0,Plausible,21,The athlete asked her coach a question.,question,198.35,4.005,1.219405651,0.47761157,0.6311,coach,47.63,3.386,-1.558341682,0.1936804,0.6736,,
2,dobj,4_0,Plausible,22,The teacher ordered the student a textbook.,textbook,2.2,2.053,-5.359880209,0.1169191,0.6177,student,43.04,3.342,-5.162651539,0.17130847,0.6465,,
2,dobj,4_0,Plausible,23,The artist crafted the bride a necklace.,necklace,9.75,2.697,0.996924013,0.35130832,0.3848,bride,24.22,3.092,-2.529204369,0.24204569,0.5378,,
2,dobj,4_0,Plausible,24,The tailor shipped the customer a suit.,suit,68.61,3.544,-4.212168574,0.119225495,0.458,customer,15.2,2.89,0.885582715,0.2897156,0.8244,,
2,dobj,4_0,Plausible,25,The artist made the patron a sculpture.,sculpture,3.12,2.204,-1.602049112,0.19511887,0.2809,patron,3.1,2.201,-2.711590827,0.13875194,0.4497,,
2,dobj,4_0,Plausible,26,The kids poured the customers some juice.,juice,26.88,3.137,2.320960879,0.3821618,0.513,customers,19.06,2.988,-1.447311699,0.21453771,0.6459,,
2,dobj,4_0,Plausible,27,The nurse administered the patient a vaccine.,vaccine,1.92,1.996,0.695181862,0.25751436,0.6774,patient,63.65,3.511,0.772582483,0.31437263,0.8023,,
2,dobj,4_0,Plausible,28,The clerk counted the customer some change.,change,240.35,4.088,-3.417589188,0.28851232,0.3217,customer,15.2,2.89,-2.930192947,0.16867222,0.4283,,
2,dobj,4_0,Plausible,29,The teacher distributed the students the assignments.,assignments,3.53,2.258,-3.777927637,0.19718131,0.5714,students,30.67,3.195,-1.531471848,0.16530342,0.6987,,
2,dobj,4_0,Plausible,30,The host offered the guests a drink.,drink,247.39,4.101,-1.863897324,0.18127279,0.416,guests,39.94,3.309,-0.634240657,0.27680382,0.5938,,
2,dobj,4_0,Plausible,31,The neighbor lent his friend a vacuum.,vacuum,5.76,2.47,-5.969734192,0.06923539,0.6542,friend,419.29,4.33,-1.761587501,0.22061375,0.6745,,
2,dobj,4_0,Plausible,32,The agent sold the couple an estate.,estate,21.1,3.032,2.728018403,0.41377455,0.7412,couple,223.41,4.057,-0.717859522,0.21933693,0.8796,,
2,dobj,4_0,Plausible,33,The clerk passed the customer a receipt.,receipt,7.43,2.58,-1.927469611,0.2505622,0.6145,customer,15.2,2.89,-3.988669157,0.12240852,0.5971,,
2,dobj,4_0,Plausible,34,The committee granted the student an award.,award,12.88,2.818,-1.536207318,0.24589711,0.1702,student,43.04,3.342,-3.358715296,0.18143669,0.3527,,
2,dobj,4_0,Plausible,35,The parent promised the child a toy.,toy,16.84,2.934,-3.910541773,0.14450218,0.3544,child,157.65,3.905,-1.927890658,0.27533844,0.7807,,
2,dobj,4_0,Plausible,36,The salesman guaranteed the customer a discount.,discount,4.76,2.387,0.696204782,0.32644448,0.694,customer,15.2,2.89,0.192976475,0.3143221,0.739,,
2,dobj,4_0,Plausible,37,The author wrote the director a script.,script,19.61,3,2.478390515,0.37793136,0.446,director,35.96,3.264,-0.423550084,0.2938603,0.4073,,
2,dobj,4_0,Plausible,38,The tenant paid the landlord the rent.,rent,34.55,3.246,4.144936681,0.49835482,0.7218,landlord,5.33,2.436,0.153964758,0.27277127,0.5913,,
2,dobj,4_0,Plausible,39,The company donated the school the computers.,computers,10.8,2.742,-1.643707395,0.17772879,0.473,school,333.12,4.23,-1.21446602,0.15373154,0.7083,,
2,dobj,4_0,Plausible,40,The manager denied the customer the request.,request,25.57,3.116,0.098058224,0.39707536,0.7005,customer,15.2,2.89,-4.064874649,0.21958527,0.2379,,
2,dobj,4_0,Plausible,41,The server handed the customer the coffee.,coffee,144.53,3.868,-5.221402168,0.09830121,0.5661,customer,15.2,2.89,-2.908742309,0.17306414,0.7575,,
2,dobj,4_0,Plausible,42,The doctor suggested the client a diet.,diet,15.37,2.895,-0.992711961,0.20828924,0.0502,client,53.24,3.434,-3.564224362,0.17060752,0.0418,,
2,dobj,4_0,Plausible,43,The ranger tossed the group some snacks.,snacks,3.39,2.24,0.365188435,0.32435638,0.8384,group,73.76,3.575,-6.333028316,0.06468861,0.891,,
2,dobj,4_0,Plausible,44,The winner delivered the audience the speech.,speech,38.04,3.288,3.538706303,0.4886988,0.2564,audience,25.37,3.112,-0.88917695,0.31153157,0.7015,,
2,dobj,4_0,Plausible,45,The bank transferred the man some money.,money,640.76,4.514,-2.710824251,0.23216155,0.8499,man,"1,845.75",4.974,-4.057447076,0.13797435,0.8358,,
2,dobj,4_0,Plausible,46,The farmer fed the cows some grain.,grain,4.76,2.387,0.554962307,0.28485283,0.8389,cows,9.41,2.682,1.199670613,0.28357756,0.872,,
2,dobj,4_0,Plausible,47,The player threw the audience a ball.,ball,104.96,3.729,5.453100443,0.39869812,0.723,audience,25.37,3.112,-3.03658402,0.22474296,0.7976,,
